% 2016îN 11åé 14ì˙ 17éû 34ï™ 26.835000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  2: 0:30
END         TIME :  2008/12/13  2:30: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
     58  1509    526485    8085  -3761080.7453   3636605.3394   3636249.3914    2214.9357   -9921.5270      53.5792
     59  1509    526486    8086  -3761080.9034   3636605.4477   3636249.5971    2214.9679   -9921.4672      53.8521
     60  1509    526487    8087  -3761081.0629   3636605.5677   3636249.7042    2214.9926   -9921.4932      54.0757
     61  1509    526488    8088  -3761081.1684   3636605.6355   3636249.8121    2215.0172   -9921.4756      54.2383
     62  1509    526489    8089  -3761081.2820   3636605.6602   3636249.9248    2215.0785   -9921.4401      54.3840
     63  1509    526490    8090  -3761081.6384   3636605.9377   3636251.0193    2215.1269   -9920.8024      55.3804
     64  1509    526491    8091  -3761081.6365   3636605.7720   3636250.9119    2215.2447   -9920.8234      55.2233
     65  1509    526492    8092  -3761081.7118   3636605.7498   3636250.9476    2215.3130   -9920.8163      55.2754
     66  1509    526493    8093  -3761081.7657   3636605.7221   3636250.9394    2215.3703   -9920.8342      55.2867
     67  1509    526494    8094  -3761081.8202   3636605.7135   3636250.9876    2215.4144   -9920.8138      55.3415
     68  1509    526495    8095  -3761081.8983   3636605.7407   3636251.0709    2215.4492   -9920.7887      55.4508
     69  1509    526496    8096  -3761081.9525   3636605.7250   3636251.0717    2215.4981   -9920.8042      55.4742
     70  1509    526497    8097  -3761082.0069   3636605.7246   3636251.1302    2215.5363   -9920.7786      55.5395
     71  1509    526498    8098  -3761082.0681   3636605.7581   3636251.2491    2215.5548   -9920.7200      55.6629
     72  1509    526499    8099  -3761082.1130   3636605.7669   3636251.3301    2215.5797   -9920.6757      55.7409
     73  1509    526500    8100  -3761082.1520   3636605.7693   3636251.3827    2215.6050   -9920.6498      55.7954
     74  1509    526501    8101  -3761082.1563   3636605.8287   3636251.1657    2215.5653   -9920.8529      55.7071
     75  1509    526502    8102  -3761082.1385   3636605.8343   3636251.0456    2215.5490   -9920.9461      55.6308
     76  1509    526503    8103  -3761082.0754   3636605.8618   3636250.7956    2215.4854   -9921.1356      55.4657
     77  1509    526504    8104  -3761082.0607   3636605.9176   3636250.6455    2215.4351   -9921.2747      55.4026
     78  1509    526505    8105  -3761082.0024   3636605.9454   3636250.4155    2215.3745   -9921.4500      55.2520
     79  1509    526506    8106  -3761081.9840   3636605.9711   3636250.3158    2215.3432   -9921.5342      55.1985
     80  1509    526507    8107  -3761081.9787   3636605.9689   3636250.2630    2215.3412   -9921.5744      55.1638
     81  1509    526508    8108  -3761081.9634   3636605.9672   3636250.1944    2215.3317   -9921.6235      55.1144
     82  1509    526509    8109  -3761081.9538   3636605.9589   3636250.1506    2215.3310   -9921.6521      55.0788
     83  1509    526510    8110  -3761081.9751   3636605.9501   3636250.2015    2215.3521   -9921.6157      55.1156
     84  1509    526511    8111  -3761081.9651   3636605.9891   3636250.0309    2215.3172   -9921.7668      55.0340
     85  1509    526512    8112  -3761081.9676   3636605.9771   3636250.0300    2215.3275   -9921.7638      55.0280
