% 2016îN 11åé 22ì˙ 16éû 27ï™ 59.386000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  020606_rov_mod.02o
Ephemeris   File :  020606_rov_mod.02n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2002/ 6/ 6  5:28:20
END         TIME :  2002/ 6/ 6  5:43: 5
Ref. Position[m] :  X = -3761137.6450,  Y = 3636645.7770,  Z = 3636348.1380

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD      X_fix[m]       Y_fix[m]       Z_fix[m]       E_fix[m]     N_fix[m]     U_fix[m] 
%-------------------------------------------------------------------------------------------------------------------------------
     57  1169    365356   19756  -3760923.5812   3636750.0130   3636383.8211    -223.7334      75.9251     -46.2656
     58  1169    365357   19757  -3760923.5714   3636750.3253   3636383.5178    -223.9647      75.5562     -46.2673
     59  1169    365358   19758  -3760923.5569   3636750.6512   3636383.2265    -224.2091      75.1936     -46.2573
     60  1169    365359   19759  -3760923.5275   3636750.9820   3636382.9222    -224.4674      74.8245     -46.2606
     61  1169    365360   19760  -3760923.4893   3636751.3028   3636382.6392    -224.7245      74.4806     -46.2627
     62  1169    365361   19761  -3760923.4404   3636751.6327   3636382.3538    -224.9957      74.1354     -46.2672
     63  1169    365362   19762  -3760923.4030   3636751.9604   3636382.0620    -225.2573      73.7812     -46.2699
     64  1169    365363   19763  -3760923.3768   3636752.2831   3636381.7721    -225.5074      73.4258     -46.2677
     65  1169    365364   19764  -3760923.3315   3636752.6181   3636381.4881    -225.7798      73.0783     -46.2665
     66  1169    365365   19765  -3760923.2899   3636752.9517   3636381.1917    -226.0486      72.7196     -46.2709
     67  1169    365366   19766  -3760923.2357   3636753.2840   3636380.9234    -226.3251      72.3897     -46.2674
     68  1169    365367   19767  -3760923.1772   3636753.6260   3636380.6517    -226.6116      72.0549     -46.2628
     69  1169    365368   19768  -3760923.1139   3636753.9642   3636380.3773    -226.8987      71.7214     -46.2648
     70  1169    365369   19769  -3760923.0499   3636754.3041   3636380.1051    -227.1876      71.3893     -46.2650
     71  1169    365370   19770  -3760922.9796   3636754.6447   3636379.8295    -227.4813      71.0567     -46.2705
     72  1169    365371   19771  -3760922.9050   3636754.9950   3636379.5573    -227.7850      70.7249     -46.2709
     73  1169    365372   19772  -3760922.8288   3636755.3411   3636379.2917    -228.0868      70.4007     -46.2710
     74  1169    365373   19773  -3760922.7430   3636755.6826   3636379.0343    -228.3920      70.0890     -46.2746
     75  1169    365374   19774  -3760922.6549   3636756.0326   3636378.7746    -228.7048      69.7732     -46.2760
     76  1169    365375   19775  -3760922.5556   3636756.3909   3636378.5171    -229.0314      69.4603     -46.2781
     77  1169    365376   19776  -3760922.4466   3636756.7505   3636378.2616    -229.3657      69.1525     -46.2840
     78  1169    365377   19777  -3760922.3554   3636757.1100   3636377.9981    -229.6875      68.8310     -46.2840
     79  1169    365378   19778  -3760922.2552   3636757.4641   3636377.7525    -230.0117      68.5299     -46.2822
     80  1169    365379   19779  -3760922.1386   3636757.8263   3636377.5091    -230.3532      68.2343     -46.2841
     81  1169    365380   19780  -3760922.0392   3636758.1795   3636377.2610    -230.6762      67.9311     -46.2838
     82  1169    365381   19781  -3760921.9465   3636758.5345   3636377.0102    -230.9958      67.6224     -46.2800
     83  1169    365382   19782  -3760921.8053   3636758.8862   3636376.7801    -231.3468      67.3519     -46.2947
     84  1169    365383   19783  -3760921.6968   3636759.2691   3636376.5314    -231.6975      67.0403     -46.2832
     85  1169    365384   19784  -3760921.5652   3636759.6264   3636376.3069    -232.0458      66.7682     -46.2860
     86  1169    365385   19785  -3760921.4158   3636759.9973   3636376.0729    -232.4164      66.4902     -46.2968
     87  1169    365386   19786  -3760921.2927   3636760.3519   3636375.8545    -232.7568      66.2207     -46.2926
     88  1169    365387   19787  -3760921.1610   3636760.7043   3636375.6428    -233.1017      65.9611     -46.2908
     89  1169    365388   19788  -3760921.0107   3636761.0546   3636375.4401    -233.4580      65.7174     -46.2961
     90  1169    365389   19789  -3760920.8692   3636761.4176   3636375.2295    -233.8173      65.4585     -46.2935
     91  1169    365390   19790  -3760920.7143   3636761.7751   3636375.0333    -234.1821      65.2191     -46.2936
     92  1169    365391   19791  -3760920.5609   3636762.1214   3636374.8351    -234.5376      64.9819     -46.3003
     93  1169    365392   19792  -3760920.4147   3636762.4832   3636374.6388    -234.8993      64.7372     -46.2929
     94  1169    365393   19793  -3760920.2473   3636762.8324   3636374.4649    -235.2667      64.5245     -46.2924
     95  1169    365394   19794  -3760920.0815   3636763.1865   3636374.2660    -235.6366      64.2888     -46.3024
     96  1169    365395   19795  -3760919.9335   3636763.5430   3636374.0882    -235.9958      64.0620     -46.2885
     97  1169    365396   19796  -3760919.7765   3636763.9006   3636373.9033    -236.3619      63.8327     -46.2832
     98  1169    365397   19797  -3760919.5916   3636764.2572   3636373.7219    -236.7468      63.6183     -46.2931
     99  1169    365398   19798  -3760919.4215   3636764.6108   3636373.5651    -237.1193      63.4189     -46.2818
    100  1169    365399   19799  -3760919.2384   3636764.9693   3636373.3894    -237.5042      63.2075     -46.2862
    101  1169    365400   19800  -3760919.0603   3636765.3317   3636373.2164    -237.8886      62.9948     -46.2839
    102  1169    365401   19801  -3760918.8906   3636765.6818   3636373.0510    -238.2582      62.7897     -46.2793
    103  1169    365402   19802  -3760918.7045   3636766.0426   3636372.8942    -238.6470      62.5942     -46.2732
    104  1169    365403   19803  -3760918.5036   3636766.3987   3636372.7322    -239.0426      62.4023     -46.2817
    105  1169    365404   19804  -3760918.3243   3636766.7570   3636372.5843    -239.4248      62.2123     -46.2680
    106  1169    365405   19805  -3760918.1290   3636767.1006   3636372.4204    -239.8076      62.0215     -46.2814
    107  1169    365406   19806  -3760917.9291   3636767.4703   3636372.2738    -240.2124      61.8365     -46.2727
    108  1169    365407   19807  -3760917.7310   3636767.8311   3636372.1254    -240.6095      61.6527     -46.2689
    109  1169    365408   19808  -3760917.5177   3636768.1789   3636371.9903    -241.0077      61.4914     -46.2740
    110  1169    365409   19809  -3760917.3101   3636768.5195   3636371.8575    -241.3969      61.3324     -46.2784
    111  1169    365410   19810  -3760917.0996   3636768.8703   3636371.7334    -241.7954      61.1776     -46.2737
    112  1169    365411   19811  -3760916.8700   3636769.2255   3636371.6151    -242.2104      61.0338     -46.2744
    113  1169    365412   19812  -3760916.6537   3636769.5768   3636371.4904    -242.6133      60.8808     -46.2732
    114  1169    365413   19813  -3760916.4333   3636769.9351   3636371.3749    -243.0241      60.7343     -46.2652
    115  1169    365414   19814  -3760916.2025   3636770.2854   3636371.2585    -243.4363      60.5944     -46.2684
    116  1169    365415   19815  -3760915.9621   3636770.6382   3636371.1469    -243.8571      60.4614     -46.2731
    117  1169    365416   19816  -3760915.7255   3636770.9983   3636371.0327    -244.2804      60.3219     -46.2729
