% 2016îN 7åé 28ì˙ 15éû 50ï™ 46.468000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 10: 0: 0
END         TIME :  2015/12/31 23: 7:30
Ref. Position[m] :  X = -3762296.7645,  Y = 3685992.5241,  Z = 3585585.4878
True Position[m] :  X = -3762367.3634,  Y = 3680867.5254,  Z = 3590465.3036
True Baseline[m] :     7076.9484

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
      1  1877    381630   36030  -3762367.7060   3680867.8546   3590465.4632       0.0042      -0.1374       0.4820
      2  1877    381660   36060  -3762368.4537   3680868.2685   3590465.9022       0.2313      -0.2419       1.4097
      3  1877    381690   36090  -3762367.7089   3680867.9262   3590466.0324      -0.0449       0.3023       0.8472
      4  1877    381720   36120  -3762367.5913   3680867.9556   3590466.2718      -0.1481       0.5356       0.9304
      5  1877    381750   36150  -3762367.3107   3680867.5638   3590465.7455      -0.0643       0.3704       0.2413
      6  1877    381780   36180  -3762367.5697   3680867.6567   3590465.7064       0.0504       0.1965       0.4253
      7  1877    381810   36210  -3762367.7897   3680867.7135   3590465.6356       0.1636       0.0267       0.5476
      8  1877    381840   36240  -3762367.7697   3680867.6404   3590465.7128       0.2019       0.1274       0.5374
      9  1877    381870   36270  -3762367.5887   3680867.5270   3590465.7404       0.1564       0.2683       0.3809
     10  1877    381900   36300  -3762367.3285   3680867.4131   3590465.7001       0.0559       0.3854       0.1391
     11  1877    381930   36330  -3762367.1799   3680867.3167   3590465.6568       0.0209       0.4481      -0.0285
     12  1877    381960   36360  -3762367.1764   3680867.3177   3590465.5083       0.0177       0.3266      -0.1140
     13  1877    381990   36390  -3762367.2395   3680867.3709   3590465.4016       0.0238       0.1921      -0.1066
     14  1877    382020   36420  -3762367.2692   3680867.3700   3590465.3317       0.0452       0.1229      -0.1292
     15  1877    382050   36450  -3762367.4498   3680867.4482   3590465.2797       0.1157      -0.0241      -0.0071
     16  1877    382080   36480  -3762367.4788   3680867.4394   3590465.2680       0.1422      -0.0421      -0.0017
     17  1877    382110   36510  -3762367.4518   3680867.4736   3590465.3773       0.0988       0.0455       0.0639
     18  1877    382140   36540  -3762367.3898   3680867.4221   3590465.3685       0.0923       0.0838      -0.0073
     19  1877    382170   36570  -3762367.4937   3680867.5616   3590465.4807       0.0652       0.0789       0.1979
     20  1877    382200   36600  -3762367.5309   3680867.6394   3590465.5444       0.0356       0.0856       0.3007
     21  1877    382230   36630  -3762367.5327   3680867.6189   3590465.5729       0.0516       0.1165       0.3061
     22  1877    382260   36660  -3762367.5904   3680867.6880   3590465.6414       0.0425       0.1222       0.4187
     23  1877    382290   36690  -3762367.5105   3680867.6727   3590465.6356      -0.0024       0.1559       0.3595
     24  1877    382320   36720  -3762367.5742   3680867.7192   3590465.6689       0.0089       0.1391       0.4427
     25  1877    382350   36750  -3762367.5171   3680867.6772   3590465.6276      -0.0010       0.1448       0.3615
     26  1877    382380   36780  -3762367.4812   3680867.6629   3590465.6004      -0.0160       0.1426       0.3167
     27  1877    382410   36810  -3762367.4911   3680867.7166   3590465.5784      -0.0474       0.0992       0.3411
     28  1877    382440   36840  -3762367.5679   3680867.7464   3590465.5892      -0.0149       0.0652       0.4096
     29  1877    382470   36870  -3762367.6149   3680867.7551   3590465.6051       0.0117       0.0558       0.4514
     30  1877    382500   36900  -3762367.5929   3680867.7375   3590465.6314       0.0089       0.0934       0.4431
     31  1877    382530   36930  -3762367.5323   3680867.7098   3590465.6196      -0.0136       0.1192       0.3847
     32  1877    382560   36960  -3762367.4940   3680867.7153   3590465.5977      -0.0444       0.1145       0.3529
     33  1877    382590   36990  -3762367.4990   3680867.7131   3590465.5847      -0.0393       0.1025       0.3473
     34  1877    382620   37020  -3762367.4956   3680867.7080   3590465.5831      -0.0381       0.1046       0.3414
     35  1877    382650   37050  -3762367.4793   3680867.7095   3590465.5587      -0.0506       0.0905       0.3189
