% 2016îN 10åé 13ì˙ 15éû 49ï™ 33.245000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  igrg3650.15i
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 10: 0: 0
END         TIME :  2015/12/31 11: 7:30
Ref. Position[m] :  X = -3762367.3634,  Y = 3680867.5254,  Z = 3590465.3036
True Position[m] :  X = -3762367.3634,  Y = 3680867.5254,  Z = 3590465.3036
True Baseline[m] :        0.0000

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
     57  1877    383310   37710  -3762367.5647   3680867.8183   3590465.6584      -0.0686       0.0950       0.4883
     58  1877    383340   37740  -3762367.5732   3680867.8369   3590465.6802      -0.0759       0.1022       0.5164
     59  1877    383370   37770  -3762367.5774   3680867.8280   3590465.6727      -0.0666       0.0978       0.5095
     60  1877    383400   37800  -3762367.5631   3680867.8311   3590465.6734      -0.0788       0.1030       0.5033
     61  1877    383430   37830  -3762367.5552   3680867.7998   3590465.6501      -0.0620       0.0994       0.4674
     62  1877    383460   37860  -3762367.5542   3680867.7956   3590465.6499      -0.0597       0.1013       0.4642
     63  1877    383490   37890  -3762367.5470   3680867.7945   3590465.6477      -0.0640       0.1028       0.4581
     64  1877    383520   37920  -3762367.5378   3680867.8128   3590465.6513      -0.0834       0.1023       0.4653
     65  1877    383550   37950  -3762367.5408   3680867.8076   3590465.6459      -0.0776       0.0987       0.4609
     66  1877    383580   37980  -3762367.5427   3680867.8067   3590465.6494      -0.0757       0.1011       0.4636
     67  1877    383610   38010  -3762367.5659   3680867.8319   3590465.6725      -0.0775       0.1008       0.5048
     68  1877    383640   38040  -3762367.5704   3680867.8286   3590465.6639      -0.0719       0.0932       0.5008
     69  1877    383670   38070  -3762367.5761   3680867.8260   3590465.6537      -0.0661       0.0835       0.4969
     70  1877    383700   38100  -3762367.5752   3680867.8347   3590465.6668      -0.0730       0.0912       0.5087
     71  1877    383730   38130  -3762367.5714   3680867.8316   3590465.6596      -0.0734       0.0880       0.5006
     72  1877    383760   38160  -3762367.5656   3680867.8234   3590465.6597      -0.0716       0.0937       0.4925
     73  1877    383790   38190  -3762367.5547   3680867.8055   3590465.6414      -0.0664       0.0902       0.4655
     74  1877    383820   38220  -3762367.5559   3680867.7910   3590465.6286      -0.0552       0.0849       0.4505
     75  1877    383850   38250  -3762367.5408   3680867.7717   3590465.6072      -0.0520       0.0809       0.4184
     76  1877    383880   38280  -3762367.5272   3680867.7585   3590465.6050      -0.0521       0.0899       0.4015
     77  1877    383910   38310  -3762367.5276   3680867.7503   3590465.6045      -0.0459       0.0925       0.3968
     78  1877    383940   38340  -3762367.5265   3680867.7496   3590465.6047      -0.0462       0.0934       0.3958
     79  1877    383970   38370  -3762367.5243   3680867.7472   3590465.6021      -0.0460       0.0932       0.3917
     80  1877    384000   38400  -3762367.5267   3680867.7423   3590465.5876      -0.0408       0.0821       0.3820
     81  1877    384030   38430  -3762367.5270   3680867.7408   3590465.5850      -0.0395       0.0805       0.3799
     82  1877    384060   38460  -3762367.5171   3680867.7597   3590465.5994      -0.0600       0.0889       0.3930
     83  1877    384090   38490  -3762367.5186   3680867.7470   3590465.5877      -0.0499       0.0837       0.3800
     84  1877    384120   38520  -3762367.5146   3680867.7371   3590465.5717      -0.0456       0.0760       0.3629
     85  1877    384150   38550  -3762367.5091   3680867.7309   3590465.5581      -0.0450       0.0695       0.3484
     86  1877    384180   38580  -3762367.5125   3680867.7240   3590465.5525      -0.0377       0.0662       0.3433
     87  1877    384210   38610  -3762367.5121   3680867.7200   3590465.5449      -0.0351       0.0617       0.3364
     88  1877    384240   38640  -3762367.5098   3680867.7276   3590465.5525      -0.0422       0.0659       0.3437
     89  1877    384270   38670  -3762367.5094   3680867.7185   3590465.5430      -0.0359       0.0618       0.3329
     90  1877    384300   38700  -3762367.5097   3680867.7146   3590465.5377      -0.0330       0.0589       0.3278
     91  1877    384330   38730  -3762367.5028   3680867.7119   3590465.5327      -0.0359       0.0586       0.3194
     92  1877    384360   38760  -3762367.5009   3680867.7149   3590465.5359      -0.0393       0.0609       0.3218
     93  1877    384390   38790  -3762367.5020   3680867.7025   3590465.5282      -0.0297       0.0590       0.3109
     94  1877    384420   38820  -3762367.4949   3680867.7098   3590465.5289      -0.0399       0.0595       0.3114
     95  1877    384450   38850  -3762367.4947   3680867.7081   3590465.5264      -0.0388       0.0582       0.3089
     96  1877    384480   38880  -3762367.4947   3680867.7120   3590465.5278      -0.0416       0.0579       0.3118
     97  1877    384510   38910  -3762367.4952   3680867.7151   3590465.5310      -0.0434       0.0590       0.3157
     98  1877    384540   38940  -3762367.4941   3680867.7118   3590465.5264      -0.0419       0.0570       0.3106
     99  1877    384570   38970  -3762367.4920   3680867.7060   3590465.5217      -0.0391       0.0562       0.3034
    100  1877    384600   39000  -3762367.4905   3680867.7009   3590465.5174      -0.0366       0.0553       0.2971
    101  1877    384630   39030  -3762367.4912   3680867.7016   3590465.5201      -0.0366       0.0570       0.2995
    102  1877    384660   39060  -3762367.4923   3680867.6880   3590465.5089      -0.0261       0.0527       0.2859
    103  1877    384690   39090  -3762367.4981   3680867.6814   3590465.5084      -0.0173       0.0526       0.2853
    104  1877    384720   39120  -3762367.5017   3680867.6985   3590465.5238      -0.0270       0.0571       0.3059
    105  1877    384750   39150  -3762367.5020   3680867.6970   3590465.5234      -0.0257       0.0571       0.3050
    106  1877    384780   39180  -3762367.5082   3680867.6863   3590465.5173      -0.0137       0.0539       0.2991
    107  1877    384810   39210  -3762367.5046   3680867.6758   3590465.5021      -0.0087       0.0469       0.2823
    108  1877    384840   39240  -3762367.5038   3680867.6945   3590465.5141      -0.0227       0.0498       0.2994
    109  1877    384870   39270  -3762367.5026   3680867.6883   3590465.5071      -0.0191       0.0470       0.2911
    110  1877    384900   39300  -3762367.4991   3680867.6908   3590465.5061      -0.0233       0.0466       0.2900
    111  1877    384930   39330  -3762367.4996   3680867.6999   3590465.5142      -0.0294       0.0494       0.3001
    112  1877    384960   39360  -3762367.4988   3680867.6934   3590465.5085      -0.0254       0.0476       0.2927
    113  1877    384990   39390  -3762367.4986   3680867.6915   3590465.5067      -0.0242       0.0470       0.2903
    114  1877    385020   39420  -3762367.4994   3680867.6898   3590465.5061      -0.0224       0.0468       0.2895
    115  1877    385050   39450  -3762367.5007   3680867.6901   3590465.5075      -0.0217       0.0473       0.2913
