% 2016îN 7åé 29ì˙ 13éû 19ï™ 11.658000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 10: 0: 0
END         TIME :  2015/12/31 11: 7:30
Ref. Position[m] :  X = -3762296.7645,  Y = 3685992.5241,  Z = 3585585.4878
True Position[m] :  X = -3762367.3634,  Y = 3680867.5254,  Z = 3590465.3036
True Baseline[m] :     7076.9484

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
     57  1877    383310   37710  -3762367.4010   3680867.7248   3590465.5147      -0.1162       0.0798       0.2566
     58  1877    383340   37740  -3762367.4001   3680867.7136   3590465.5137      -0.1088       0.0838       0.2491
     59  1877    383370   37770  -3762367.4185   3680867.6947   3590465.5124      -0.0825       0.0828       0.2483
     60  1877    383400   37800  -3762367.4139   3680867.6952   3590465.5175      -0.0860       0.0887       0.2487
     61  1877    383430   37830  -3762367.4043   3680867.6801   3590465.5057      -0.0820       0.0888       0.2277
     62  1877    383460   37860  -3762367.3965   3680867.6732   3590465.5005      -0.0825       0.0904       0.2162
     63  1877    383490   37890  -3762367.3920   3680867.6625   3590465.4954      -0.0780       0.0923       0.2044
     64  1877    383520   37920  -3762367.3900   3680867.6629   3590465.4937      -0.0797       0.0915       0.2026
     65  1877    383550   37950  -3762367.4026   3680867.6570   3590465.4982      -0.0667       0.0924       0.2091
     66  1877    383580   37980  -3762367.4035   3680867.6535   3590465.5016      -0.0636       0.0963       0.2096
     67  1877    383610   38010  -3762367.4037   3680867.6438   3590465.4874      -0.0564       0.0884       0.1961
     68  1877    383640   38040  -3762367.4149   3680867.6375   3590465.4813      -0.0441       0.0813       0.1955
     69  1877    383670   38070  -3762367.4302   3680867.6364   3590465.4815      -0.0326       0.0756       0.2040
     70  1877    383700   38100  -3762367.4300   3680867.6331   3590465.4895      -0.0304       0.0837       0.2065
     71  1877    383730   38130  -3762367.4299   3680867.6326   3590465.4878      -0.0301       0.0825       0.2053
     72  1877    383760   38160  -3762367.4213   3680867.6269   3590465.4867      -0.0320       0.0873       0.1963
     73  1877    383790   38190  -3762367.4192   3680867.6273   3590465.4850      -0.0338       0.0866       0.1944
     74  1877    383820   38220  -3762367.4324   3680867.6299   3590465.4877      -0.0265       0.0825       0.2051
     75  1877    383850   38250  -3762367.4371   3680867.6319   3590465.4927      -0.0246       0.0840       0.2118
     76  1877    383880   38280  -3762367.4259   3680867.6267   3590465.4936      -0.0287       0.0913       0.2028
     77  1877    383910   38310  -3762367.4242   3680867.6231   3590465.4925      -0.0273       0.0925       0.1991
     78  1877    383940   38340  -3762367.4214   3680867.6221   3590465.4899      -0.0286       0.0918       0.1954
     79  1877    383970   38370  -3762367.4200   3680867.6252   3590465.4875      -0.0317       0.0892       0.1950
     80  1877    384000   38400  -3762367.4249   3680867.6201   3590465.4808      -0.0247       0.0836       0.1911
     81  1877    384030   38430  -3762367.4228   3680867.6160   3590465.4784      -0.0232       0.0842       0.1862
     82  1877    384060   38460  -3762367.4069   3680867.6170   3590465.4783      -0.0351       0.0902       0.1773
     83  1877    384090   38490  -3762367.4093   3680867.6122   3590465.4721      -0.0299       0.0860       0.1724
     84  1877    384120   38520  -3762367.4104   3680867.6118   3590465.4709      -0.0289       0.0847       0.1723
     85  1877    384150   38550  -3762367.4081   3680867.6132   3590465.4705      -0.0315       0.0847       0.1714
     86  1877    384180   38580  -3762367.4133   3680867.6089   3590465.4686      -0.0248       0.0828       0.1709
     87  1877    384210   38610  -3762367.4162   3680867.6061   3590465.4647      -0.0207       0.0795       0.1688
     88  1877    384240   38640  -3762367.4094   3680867.6029   3590465.4653      -0.0232       0.0840       0.1633
     89  1877    384270   38670  -3762367.4117   3680867.5996   3590465.4637      -0.0193       0.0830       0.1619
     90  1877    384300   38700  -3762367.4114   3680867.5978   3590465.4630      -0.0182       0.0833       0.1603
     91  1877    384330   38730  -3762367.4017   3680867.5945   3590465.4609      -0.0226       0.0868       0.1515
     92  1877    384360   38760  -3762367.3923   3680867.5910   3590465.4617      -0.0267       0.0926       0.1443
     93  1877    384390   38790  -3762367.3942   3680867.5830   3590465.4526      -0.0197       0.0876       0.1357
     94  1877    384420   38820  -3762367.3817   3680867.5795   3590465.4492      -0.0259       0.0912       0.1244
     95  1877    384450   38850  -3762367.3802   3680867.5765   3590465.4466      -0.0248       0.0909       0.1203
     96  1877    384480   38880  -3762367.3766   3680867.5738   3590465.4441      -0.0254       0.0913       0.1152
     97  1877    384510   38910  -3762367.3730   3680867.5697   3590465.4448      -0.0250       0.0950       0.1111
     98  1877    384540   38940  -3762367.3667   3680867.5671   3590465.4422      -0.0275       0.0964       0.1044
     99  1877    384570   38970  -3762367.3583   3680867.5641   3590465.4406      -0.0312       0.0996       0.0969
    100  1877    384600   39000  -3762367.3505   3680867.5611   3590465.4381      -0.0346       0.1019       0.0891
    101  1877    384630   39030  -3762367.3424   3680867.5581   3590465.4362      -0.0381       0.1048       0.0815
    102  1877    384660   39060  -3762367.3399   3680867.5542   3590465.4304      -0.0371       0.1026       0.0745
    103  1877    384690   39090  -3762367.3366   3680867.5504   3590465.4295      -0.0366       0.1048       0.0699
    104  1877    384720   39120  -3762367.3295   3680867.5484   3590465.4306      -0.0401       0.1093       0.0652
    105  1877    384750   39150  -3762367.3223   3680867.5457   3590465.4307      -0.0433       0.1134       0.0594
    106  1877    384780   39180  -3762367.3223   3680867.5428   3590465.4274      -0.0412       0.1118       0.0559
    107  1877    384810   39210  -3762367.3170   3680867.5435   3590465.4224      -0.0454       0.1096       0.0503
    108  1877    384840   39240  -3762367.3114   3680867.5509   3590465.4152      -0.0546       0.1029       0.0473
    109  1877    384870   39270  -3762367.3105   3680867.5508   3590465.4155      -0.0552       0.1036       0.0469
    110  1877    384900   39300  -3762367.3068   3680867.5549   3590465.4139      -0.0606       0.1022       0.0461
    111  1877    384930   39330  -3762367.3068   3680867.5549   3590465.4139      -0.0606       0.1022       0.0461
    112  1877    384960   39360  -3762367.3076   3680867.5548   3590465.4144      -0.0600       0.1023       0.0468
    113  1877    384990   39390  -3762367.3074   3680867.5550   3590465.4137      -0.0603       0.1016       0.0464
    114  1877    385020   39420  -3762367.3080   3680867.5550   3590465.4136      -0.0599       0.1014       0.0467
    115  1877    385050   39450  -3762367.3080   3680867.5546   3590465.4140      -0.0596       0.1018       0.0467
    116  1877    385080   39480  -3762367.3082   3680867.5544   3590465.4144      -0.0593       0.1022       0.0469
    117  1877    385110   39510  -3762367.3099   3680867.5540   3590465.4179      -0.0578       0.1045       0.0496
    118  1877    385140   39540  -3762367.3100   3680867.5544   3590465.4169      -0.0581       0.1035       0.0494
    119  1877    385170   39570  -3762367.3102   3680867.5541   3590465.4182      -0.0577       0.1046       0.0501
    120  1877    385200   39600  -3762367.3105   3680867.5539   3590465.4199      -0.0574       0.1060       0.0511
    121  1877    385230   39630  -3762367.3114   3680867.5540   3590465.4220      -0.0568       0.1073       0.0529
    122  1877    385260   39660  -3762367.3111   3680867.5536   3590465.4227      -0.0567       0.1081       0.0529
    123  1877    385290   39690  -3762367.3120   3680867.5536   3590465.4227      -0.0562       0.1078       0.0534
    124  1877    385320   39720  -3762367.3126   3680867.5543   3590465.4223      -0.0562       0.1069       0.0539
    125  1877    385350   39750  -3762367.3125   3680867.5551   3590465.4208      -0.0568       0.1055       0.0535
    126  1877    385380   39780  -3762367.3121   3680867.5560   3590465.4190      -0.0578       0.1037       0.0528
    127  1877    385410   39810  -3762367.3117   3680867.5571   3590465.4171      -0.0589       0.1019       0.0521
    128  1877    385440   39840  -3762367.3120   3680867.5578   3590465.4167      -0.0591       0.1012       0.0524
    129  1877    385470   39870  -3762367.3129   3680867.5575   3590465.4187      -0.0582       0.1026       0.0539
    130  1877    385500   39900  -3762367.3124   3680867.5581   3590465.4160      -0.0590       0.1003       0.0524
    131  1877    385530   39930  -3762367.3131   3680867.5575   3590465.4189      -0.0581       0.1026       0.0541
    132  1877    385560   39960  -3762367.3135   3680867.5574   3590465.4203      -0.0578       0.1037       0.0551
    133  1877    385590   39990  -3762367.3142   3680867.5573   3590465.4226      -0.0572       0.1054       0.0568
    134  1877    385620   40020  -3762367.3133   3680867.5578   3590465.4217      -0.0582       0.1048       0.0560
    135  1877    385650   40050  -3762367.3121   3680867.5570   3590465.4222      -0.0584       0.1060       0.0552
