% 2016îN 11åé 14ì˙ 17éû 31ï™ 30.982000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  2:30: 0
END         TIME :  2008/12/13  3: 0: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD      X_fix[m]       Y_fix[m]       Z_fix[m]       E_fix[m]     N_fix[m]     U_fix[m] 
%-------------------------------------------------------------------------------------------------------------------------------
     56  1509    527455    9055  -3760158.9138   3636839.7298   3636923.6852    1405.4456   -9082.6851      32.2615
     57  1509    527456    9056            NaN            NaN            NaN          NaN          NaN          NaN
     58  1509    527457    9057            NaN            NaN            NaN          NaN          NaN          NaN
     59  1509    527458    9058            NaN            NaN            NaN          NaN          NaN          NaN
     60  1509    527459    9059            NaN            NaN            NaN          NaN          NaN          NaN
     61  1509    527460    9060            NaN            NaN            NaN          NaN          NaN          NaN
     62  1509    527461    9061  -3760117.6393   3636843.8968   3636961.3008    1373.7483   -9036.5215      31.9716
     63  1509    527462    9062  -3760110.1192   3636844.6549   3636968.1868    1367.9739   -9028.0836      31.9369
     64  1509    527463    9063  -3760102.5571   3636845.4686   3636975.2222    1362.1304   -9019.5282      31.9948
     65  1509    527464    9064  -3760094.9543   3636846.3105   3636982.3075    1356.2383   -9010.9265      32.0737
     66  1509    527465    9065  -3760087.1428   3636847.4350   3636989.2132    1349.9980   -9002.4985      32.0874
     67  1509    527466    9066  -3760078.9929   3636849.2470   3636995.6083    1343.0283   -8994.6234      32.0000
     68  1509    527467    9067  -3760070.5349   3636851.9281   3637001.4243    1335.2198   -8987.4423      31.8933
     69  1509    527468    9068  -3760061.8192   3636855.1827   3637006.8433    1326.8200   -8980.7089      31.7333
     70  1509    527469    9069  -3760052.7422   3636858.6647   3637011.9916    1318.0055   -8974.1387      31.3348
     71  1509    527470    9070  -3760043.4379   3636862.2946   3637017.0577    1308.9267   -8967.6010      30.8394
     72  1509    527471    9071  -3760033.9937   3636866.0096   3637022.1475    1299.6895   -8961.0202      30.3240
     73  1509    527472    9072  -3760024.3934   3636869.8192   3637027.2608    1290.2757   -8954.3935      29.7839
     74  1509    527473    9073  -3760014.6726   3636873.7147   3637032.4280    1280.7163   -8947.7072      29.2529
     75  1509    527474    9074  -3760004.8234   3636877.6605   3637037.6841    1271.0315   -8940.9152      28.7261
     76  1509    527475    9075  -3759994.8758   3636881.5993   3637043.0514    1261.2833   -8933.9889      28.2013
     77  1509    527476    9076  -3759984.7884   3636885.4454   3637048.5891    1251.5046   -8926.8283      27.6394
     78  1509    527477    9077  -3759974.5501   3636889.2276   3637054.2513    1241.6668   -8919.4779      27.0240
     79  1509    527478    9078  -3759964.1981   3636892.8167   3637060.2265    1231.8887   -8911.7473      26.4116
     80  1509    527479    9079  -3759953.7687   3636896.1492   3637066.5501    1222.2413   -8903.5970      25.8079
     81  1509    527480    9080  -3759943.3029   3636899.1469   3637073.2543    1212.8090   -8894.9864      25.2109
     82  1509    527481    9081  -3759932.8280   3636901.7765   3637080.3351    1203.6349   -8885.9169      24.6154
     83  1509    527482    9082  -3759922.5361   3636904.1548   3637087.8559    1194.7687   -8876.4622      24.2374
     84  1509    527483    9083            NaN            NaN            NaN          NaN          NaN          NaN
     85  1509    527484    9084            NaN            NaN            NaN          NaN          NaN          NaN
     86  1509    527485    9085            NaN            NaN            NaN          NaN          NaN          NaN
     92  1509    527491    9091            NaN            NaN            NaN          NaN          NaN          NaN
     93  1509    527492    9092            NaN            NaN            NaN          NaN          NaN          NaN
     94  1509    527493    9093  -3759833.9735   3636910.6563   3637173.6931    1128.5089   -8772.2394      25.1718
     95  1509    527494    9094  -3759828.1869   3636910.1692   3637180.2591    1124.8349   -8764.2816      25.2640
     96  1509    527495    9095  -3759823.4191   3636909.7794   3637185.7127    1121.7994   -8757.6937      25.3715
     97  1509    527496    9096  -3759819.7566   3636909.4613   3637189.8830    1119.4810   -8752.6412      25.4327
     98  1509    527497    9097  -3759816.8097   3636909.2081   3637193.2605    1117.6137   -8748.5590      25.4961
     99  1509    527498    9098  -3759814.1154   3636908.9507   3637196.3052    1115.9250   -8744.8516      25.5144
    100  1509    527499    9099  -3759811.5776   3636908.7195   3637199.2364    1114.3263   -8741.3125      25.5744
    101  1509    527500    9100  -3759808.9227   3636908.4394   3637202.2524    1112.6813   -8737.6359      25.5865
    102  1509    527501    9101  -3759805.8925   3636908.1186   3637205.6661    1110.8046   -8733.4625      25.5833
    103  1509    527502    9102            NaN            NaN            NaN          NaN          NaN          NaN
    104  1509    527503    9103            NaN            NaN            NaN          NaN          NaN          NaN
    105  1509    527504    9104            NaN            NaN            NaN          NaN          NaN          NaN
    106  1509    527505    9105  -3759790.3716   3636906.5370   3637222.9374    1101.1478   -8712.2864      25.4786
    107  1509    527506    9106  -3759785.8816   3636906.0390   3637227.8368    1098.3832   -8706.2236      25.3695
    108  1509    527507    9107  -3759780.9595   3636905.4881   3637233.1806    1095.3562   -8699.5975      25.2316
    109  1509    527508    9108  -3759775.8688   3636904.9532   3637238.7901    1092.2004   -8692.6908      25.1563
    110  1509    527509    9109  -3759770.5610   3636903.9582   3637244.4979    1089.2242   -8685.4301      24.7479
    111  1509    527510    9110            NaN            NaN            NaN          NaN          NaN          NaN
    112  1509    527511    9111            NaN            NaN            NaN          NaN          NaN          NaN
    113  1509    527512    9112            NaN            NaN            NaN          NaN          NaN          NaN
    114  1509    527513    9113            NaN            NaN            NaN          NaN          NaN          NaN
    115  1509    527514    9114            NaN            NaN            NaN          NaN          NaN          NaN
    116  1509    527515    9115            NaN            NaN            NaN          NaN          NaN          NaN
    117  1509    527516    9116  -3759736.6358   3636900.7736   3637281.4436    1067.9207   -8639.9118      24.2113
    118  1509    527517    9117  -3759732.3982   3636900.3409   3637285.9980    1065.2847   -8634.2617      24.0896
    119  1509    527518    9118  -3759728.5195   3636899.9294   3637290.2178    1062.8832   -8629.0420      23.9988
    120  1509    527519    9119  -3759725.2019   3636899.5435   3637293.7863    1060.8533   -8624.5974      23.8784
    121  1509    527520    9120  -3759722.2929   3636899.2329   3637296.9968    1059.0536   -8620.6445      23.8355
    122  1509    527521    9121  -3759719.7362   3636898.9554   3637299.7904    1057.4750   -8617.1915      23.7790
    123  1509    527522    9122  -3759717.5838   3636898.7176   3637302.1795    1056.1491   -8614.2524      23.7505
    124  1509    527523    9123  -3759715.5129   3636898.4703   3637304.4011    1054.8866   -8611.4803      23.6683
    125  1509    527524    9124  -3759713.4119   3636898.2575   3637306.6932    1053.5786   -8608.6519      23.6285
    126  1509    527525    9125  -3759711.2348   3636898.0408   3637309.0519    1052.2203   -8605.7358      23.5800
    127  1509    527526    9126  -3759709.0037   3636897.8342   3637311.4440    1050.8172   -8602.7743      23.5247
    128  1509    527527    9127  -3759706.8832   3636897.6469   3637313.7408    1049.4771   -8599.9441      23.4906
    129  1509    527528    9128  -3759704.7433   3636897.4501   3637316.0056    1048.1305   -8597.1282      23.4214
    130  1509    527529    9129  -3759702.6652   3636897.2727   3637318.2192    1046.8128   -8594.3876      23.3702
    131  1509    527530    9130  -3759700.8987   3636897.1201   3637320.0831    1045.6940   -8592.0718      23.3154
    132  1509    527531    9131  -3759699.1912   3636896.9825   3637321.8792    1044.6055   -8589.8417      23.2648
    133  1509    527532    9132  -3759697.2261   3636896.8413   3637323.9502    1043.3404   -8587.2790      23.2187
    134  1509    527533    9133  -3759694.3877   3636896.6648   3637326.8565    1041.4933   -8583.6577      23.1187
    135  1509    527534    9134  -3759690.6723   3636896.4909   3637330.6293    1039.0345   -8578.9663      23.0024
    136  1509    527535    9135  -3759686.0780   3636896.2194   3637335.3087    1036.0347   -8573.1310      22.8345
    137  1509    527536    9136  -3759680.8905   3636895.7023   3637340.7033    1032.7989   -8566.3673      22.5890
    138  1509    527537    9137  -3759675.3812   3636895.0798   3637346.4885    1029.4149   -8559.1089      22.3185
    139  1509    527538    9138  -3759669.7661   3636894.4718   3637352.4559    1025.9471   -8551.6635      22.0988
    140  1509    527539    9139  -3759664.0653   3636893.7968   3637358.5252    1022.4676   -8544.0725      21.8491
    141  1509    527540    9140  -3759658.5261   3636893.1298   3637364.4712    1019.0949   -8536.6524      21.6282
    142  1509    527541    9141  -3759653.2428   3636892.5114   3637370.1265    1015.8652   -8529.5952      21.4184
    143  1509    527542    9142  -3759647.8540   3636892.0097   3637375.7421    1012.4783   -8522.5736      21.1901
    144  1509    527543    9143  -3759642.1088   3636891.6274   3637381.6986    1008.7578   -8515.1736      21.0161
    145  1509    527544    9144  -3759635.8392   3636891.2902   3637388.1966    1004.6401   -8507.1318      20.8705
    146  1509    527545    9145  -3759629.1658   3636890.9185   3637395.1120    1000.2664   -8498.5680      20.7076
