% 2016îN 7åé 28ì˙ 15éû 27ï™ 27.844000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 22: 0: 0
END         TIME :  2015/12/31 23: 7:30
Ref. Position[m] :  X = -3762296.7645,  Y = 3685992.5241,  Z = 3585585.4878

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD      X_fix[m]       Y_fix[m]       Z_fix[m]       E_fix[m]     N_fix[m]     U_fix[m] 
%-------------------------------------------------------------------------------------------------------------------------------
     80  1877    427200   81600            NaN            NaN            NaN          NaN          NaN          NaN
     81  1877    427230   81630            NaN            NaN            NaN          NaN          NaN          NaN
     82  1877    427260   81660            NaN            NaN            NaN          NaN          NaN          NaN
     83  1877    427290   81690            NaN            NaN            NaN          NaN          NaN          NaN
     84  1877    427320   81720            NaN            NaN            NaN          NaN          NaN          NaN
     85  1877    427350   81750            NaN            NaN            NaN          NaN          NaN          NaN
     86  1877    427380   81780            NaN            NaN            NaN          NaN          NaN          NaN
     87  1877    427410   81810            NaN            NaN            NaN          NaN          NaN          NaN
     88  1877    427440   81840            NaN            NaN            NaN          NaN          NaN          NaN
     89  1877    427470   81870            NaN            NaN            NaN          NaN          NaN          NaN
     90  1877    427500   81900            NaN            NaN            NaN          NaN          NaN          NaN
     91  1877    427530   81930            NaN            NaN            NaN          NaN          NaN          NaN
     92  1877    427560   81960            NaN            NaN            NaN          NaN          NaN          NaN
     93  1877    427590   81990            NaN            NaN            NaN          NaN          NaN          NaN
     94  1877    427620   82020            NaN            NaN            NaN          NaN          NaN          NaN
     95  1877    427650   82050            NaN            NaN            NaN          NaN          NaN          NaN
     96  1877    427680   82080            NaN            NaN            NaN          NaN          NaN          NaN
     97  1877    427710   82110            NaN            NaN            NaN          NaN          NaN          NaN
     98  1877    427740   82140            NaN            NaN            NaN          NaN          NaN          NaN
     99  1877    427770   82170            NaN            NaN            NaN          NaN          NaN          NaN
    100  1877    427800   82200            NaN            NaN            NaN          NaN          NaN          NaN
    101  1877    427830   82230            NaN            NaN            NaN          NaN          NaN          NaN
    102  1877    427860   82260            NaN            NaN            NaN          NaN          NaN          NaN
    103  1877    427890   82290            NaN            NaN            NaN          NaN          NaN          NaN
    104  1877    427920   82320            NaN            NaN            NaN          NaN          NaN          NaN
    105  1877    427950   82350            NaN            NaN            NaN          NaN          NaN          NaN
    106  1877    427980   82380            NaN            NaN            NaN          NaN          NaN          NaN
    107  1877    428010   82410            NaN            NaN            NaN          NaN          NaN          NaN
    108  1877    428040   82440            NaN            NaN            NaN          NaN          NaN          NaN
    109  1877    428070   82470            NaN            NaN            NaN          NaN          NaN          NaN
    110  1877    428100   82500            NaN            NaN            NaN          NaN          NaN          NaN
    111  1877    428130   82530            NaN            NaN            NaN          NaN          NaN          NaN
    112  1877    428160   82560            NaN            NaN            NaN          NaN          NaN          NaN
    113  1877    428190   82590            NaN            NaN            NaN          NaN          NaN          NaN
    114  1877    428220   82620            NaN            NaN            NaN          NaN          NaN          NaN
    115  1877    428250   82650            NaN            NaN            NaN          NaN          NaN          NaN
    116  1877    428280   82680            NaN            NaN            NaN          NaN          NaN          NaN
    117  1877    428310   82710            NaN            NaN            NaN          NaN          NaN          NaN
    118  1877    428340   82740            NaN            NaN            NaN          NaN          NaN          NaN
    119  1877    428370   82770            NaN            NaN            NaN          NaN          NaN          NaN
    120  1877    428400   82800            NaN            NaN            NaN          NaN          NaN          NaN
    121  1877    428430   82830            NaN            NaN            NaN          NaN          NaN          NaN
    122  1877    428460   82860            NaN            NaN            NaN          NaN          NaN          NaN
    123  1877    428490   82890            NaN            NaN            NaN          NaN          NaN          NaN
    124  1877    428520   82920            NaN            NaN            NaN          NaN          NaN          NaN
    125  1877    428550   82950            NaN            NaN            NaN          NaN          NaN          NaN
    126  1877    428580   82980            NaN            NaN            NaN          NaN          NaN          NaN
    127  1877    428610   83010            NaN            NaN            NaN          NaN          NaN          NaN
    128  1877    428640   83040            NaN            NaN            NaN          NaN          NaN          NaN
    129  1877    428670   83070            NaN            NaN            NaN          NaN          NaN          NaN
    130  1877    428700   83100            NaN            NaN            NaN          NaN          NaN          NaN
    131  1877    428730   83130            NaN            NaN            NaN          NaN          NaN          NaN
    132  1877    428760   83160            NaN            NaN            NaN          NaN          NaN          NaN
    133  1877    428790   83190            NaN            NaN            NaN          NaN          NaN          NaN
    134  1877    428820   83220            NaN            NaN            NaN          NaN          NaN          NaN
    135  1877    428850   83250            NaN            NaN            NaN          NaN          NaN          NaN
