% 2016îN 7åé 27ì˙ 15éû 16ï™ 30.055000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 22: 0: 0
END         TIME :  2015/12/31 23: 7:30
Ref. Position[m] :  X = -3755383.2183,  Y = 3675126.8517,  Z = 3603381.8586

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
     50  1877    426270   80670  -3762367.6530   3680867.3742   3590465.5091       0.3106       0.1121       0.1998
     51  1877    426300   80700  -3762367.5858   3680867.3397   3590465.4458       0.2883       0.1008       0.1045
     52  1877    426330   80730  -3762367.6083   3680867.3748   3590465.4702       0.2789       0.0979       0.1518
     53  1877    426360   80760  -3762367.5863   3680867.4758   3590465.4702       0.1913       0.0668       0.1971
     54  1877    426390   80790  -3762367.5977   3680867.6101   3590465.4790       0.1033       0.0163       0.2862
     55  1877    426420   80820  -3762367.5689   3680867.6198   3590465.4200       0.0762      -0.0246       0.2414
     56  1877    426450   80850  -3762367.4645   3680867.5711   3590465.3414       0.0380      -0.0278       0.1073
     57  1877    426480   80880  -3762367.3429   3680867.5446   3590465.3011      -0.0280      -0.0014      -0.0025
     58  1877    426510   80910  -3762367.3088   3680867.6411   3590465.3254      -0.1209      -0.0058       0.0469
     59  1877    426540   80940  -3762367.3596   3680867.6834   3590465.3720      -0.1156      -0.0046       0.1276
     60  1877    426570   80970  -3762367.4680   3680867.7045   3590465.4513      -0.0549       0.0085       0.2485
     61  1877    426600   81000  -3762367.5056   3680867.7460   3590465.4683      -0.0582      -0.0091       0.3042
     62  1877    426630   81030  -3762367.4751   3680867.8013   3590465.4047      -0.1191      -0.0711       0.2821
     63  1877    426660   81060  -3762367.3710   3680867.7158   3590465.3102      -0.1308      -0.0730       0.1180
     64  1877    426690   81090  -3762367.3389   3680867.6667   3590465.3110      -0.1182      -0.0400       0.0712
     65  1877    426720   81120  -3762367.3009   3680867.6487   3590465.3594      -0.1318       0.0225       0.0659
     66  1877    426750   81150  -3762367.3117   3680867.7842   3590465.4134      -0.2212       0.0089       0.1808
     67  1877    426780   81180  -3762367.2802   3680867.7978   3590465.3807      -0.2529      -0.0106       0.1517
     68  1877    426810   81210  -3762367.3686   3680867.8125   3590465.4082      -0.2015      -0.0295       0.2278
     69  1877    426840   81240  -3762367.3727   3680867.7916   3590465.4164      -0.1838      -0.0161       0.2228
     70  1877    426870   81270  -3762367.3847   3680867.7817   3590465.4105      -0.1683      -0.0220       0.2208
     71  1877    426900   81300  -3762367.3450   3680867.7849   3590465.3756      -0.1983      -0.0359       0.1795
     72  1877    426930   81330  -3762367.3184   3680867.8805   3590465.3714      -0.2852      -0.0665       0.2166
     73  1877    426960   81360  -3762367.2957   3680867.9192   3590465.3620      -0.3289      -0.0803       0.2202
     74  1877    426990   81390  -3762367.2787   3680867.9290   3590465.3601      -0.3477      -0.0790       0.2148
     75  1877    427020   81420  -3762367.2848   3680867.9135   3590465.3676      -0.3324      -0.0690       0.2137
