% 2016îN 7åé 28ì˙ 15éû 27ï™ 27.831000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 22: 0: 0
END         TIME :  2015/12/31 23: 7:30
Ref. Position[m] :  X = -3762296.7645,  Y = 3685992.5241,  Z = 3585585.4878

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
      1  1877    424830   79230  -3762368.1114   3680867.7534   3590465.3455       0.3601      -0.3584       0.5959
      2  1877    424860   79260  -3762367.6885   3680867.5713   3590465.0566       0.1945      -0.3534       0.0782
      3  1877    424890   79290  -3762367.3884   3680867.3873   3590464.8866       0.1162      -0.2992      -0.3009
      4  1877    424920   79320  -3762367.7101   3680867.5744   3590465.1180       0.2075      -0.3127       0.1275
      5  1877    424950   79350  -3762367.5557   3680867.5262   3590464.9247       0.1339      -0.3905      -0.1008
      6  1877    424980   79380  -3762367.9868   3680867.8457   3590465.1359       0.2069      -0.5173       0.4570
      7  1877    425010   79410  -3762367.9227   3680867.8964   3590465.1631       0.1259      -0.4890       0.4639
      8  1877    425040   79440  -3762367.6928   3680867.7290   3590465.0583       0.0848      -0.4161       0.1726
      9  1877    425070   79470  -3762367.6643   3680867.6471   3590464.9275       0.1234      -0.4800       0.0345
     10  1877    425100   79500  -3762367.6825   3680867.5780   3590465.0415       0.1856      -0.3660       0.0700
     11  1877    425130   79530  -3762367.9359   3680867.9426   3590465.2128       0.1022      -0.4716       0.5264
     12  1877    425160   79560  -3762367.7774   3680867.7427   3590465.1615       0.1342      -0.3707       0.2888
     13  1877    425190   79590  -3762367.8077   3680867.8391   3590465.2392       0.0865      -0.3571       0.4062
     14  1877    425220   79620  -3762367.7191   3680867.8642   3590465.1891       0.0065      -0.3725       0.3401
     15  1877    425250   79650  -3762367.7173   3680867.9700   3590465.1693      -0.0703      -0.4300       0.3888
     16  1877    425280   79680  -3762367.6469   3680867.8746   3590465.1777      -0.0513      -0.3568       0.2971
     17  1877    425310   79710  -3762367.6138   3680867.6334   3590465.1577       0.0979      -0.2643       0.1272
     18  1877    425340   79740  -3762367.4970   3680867.5485   3590465.1233       0.0770      -0.2118      -0.0100
     19  1877    425370   79770  -3762367.4418   3680867.5743   3590465.1663       0.0199      -0.1642      -0.0033
     20  1877    425400   79800  -3762367.4095   3680867.5553   3590465.1784       0.0108      -0.1337      -0.0265
     21  1877    425430   79830  -3762367.3948   3680867.7296   3590465.1882      -0.1240      -0.1887       0.0709
     22  1877    425460   79860  -3762367.3359   3680867.6934   3590465.1122      -0.1393      -0.2131      -0.0277
     23  1877    425490   79890  -3762367.2967   3680867.7602   3590465.1185      -0.2145      -0.2186      -0.0087
     24  1877    425520   79920  -3762367.3125   3680867.7777   3590465.1440      -0.2160      -0.2108       0.0251
     25  1877    425550   79950  -3762367.2878   3680867.7753   3590465.1349      -0.2315      -0.2074       0.0040
     26  1877    425580   79980  -3762367.3065   3680867.7802   3590465.1254      -0.2219      -0.2248       0.0125
     27  1877    425610   80010  -3762367.2833   3680867.7999   3590465.1056      -0.2522      -0.2395      -0.0011
     28  1877    425640   80040  -3762367.3940   3680867.7373   3590465.1475      -0.1300      -0.2249       0.0519
     29  1877    425670   80070  -3762367.3824   3680867.6961   3590465.1318      -0.1087      -0.2169       0.0123
     30  1877    425700   80100  -3762367.3842   3680867.7499   3590465.1602      -0.1460      -0.2155       0.0605
     31  1877    425730   80130  -3762367.3172   3680867.6268   3590465.1166      -0.1048      -0.1756      -0.0746
     32  1877    425760   80160  -3762367.3181   3680867.6509   3590465.1423      -0.1214      -0.1643      -0.0457
     33  1877    425790   80190  -3762367.3356   3680867.6922   3590465.1589      -0.1386      -0.1741      -0.0021
     34  1877    425820   80220  -3762367.2866   3680867.7233   3590465.1292      -0.1952      -0.1910      -0.0299
     35  1877    425850   80250  -3762367.2642   3680867.8237   3590465.1578      -0.2826      -0.1981       0.0310
     36  1877    425880   80280  -3762367.3171   3680867.7488   3590465.1667      -0.1920      -0.1826       0.0240
     37  1877    425910   80310  -3762367.3078   3680867.7466   3590465.1935      -0.1970      -0.1559       0.0324
     38  1877    425940   80340  -3762367.3806   3680867.7803   3590465.2259      -0.1702      -0.1719       0.1131
     39  1877    425970   80370  -3762367.3494   3680867.6588   3590465.1720      -0.1052      -0.1556      -0.0058
     40  1877    426000   80400  -3762367.3392   3680867.6173   3590465.1772      -0.0826      -0.1308      -0.0329
     41  1877    426030   80430  -3762367.2673   3680867.7023   3590465.1704      -0.1936      -0.1409      -0.0300
     42  1877    426060   80460  -3762367.2893   3680867.7876   3590465.2128      -0.2393      -0.1486       0.0561
     43  1877    426090   80490  -3762367.2884   3680867.7574   3590465.2170      -0.2183      -0.1329       0.0405
     44  1877    426120   80520  -3762367.2521   3680867.7487   3590465.1952      -0.2375      -0.1327       0.0018
     45  1877    426150   80550  -3762367.2657   3680867.7744   3590465.1983      -0.2463      -0.1458       0.0263
     46  1877    426180   80580  -3762367.3279   3680867.7802   3590465.2110      -0.2069      -0.1629       0.0735
     47  1877    426210   80610  -3762367.3384   3680867.7102   3590465.1985      -0.1496      -0.1496       0.0323
     48  1877    426240   80640  -3762367.2809   3680867.6355   3590465.1879      -0.1364      -0.1056      -0.0507
     49  1877    426270   80670  -3762367.2918   3680867.6205   3590465.2201      -0.1181      -0.0776      -0.0346
     50  1877    426300   80700  -3762367.2304   3680867.5758   3590465.1640      -0.1291      -0.0812      -0.1284
     51  1877    426330   80730  -3762367.3057   3680867.6031   3590465.2156      -0.0959      -0.0800      -0.0390
     52  1877    426360   80760  -3762367.2613   3680867.5806   3590465.1934      -0.1108      -0.0714      -0.0907
     53  1877    426390   80790  -3762367.2918   3680867.6047   3590465.2226      -0.1068      -0.0692      -0.0423
     54  1877    426420   80820  -3762367.2830   3680867.5584   3590465.1924      -0.0798      -0.0722      -0.0913
     55  1877    426450   80850  -3762367.2921   3680867.4814   3590465.1930      -0.0184      -0.0449      -0.1300
     56  1877    426480   80880  -3762367.2920   3680867.4730   3590465.2211      -0.0124      -0.0184      -0.1190
     57  1877    426510   80910  -3762367.3286   3680867.5409   3590465.2585      -0.0354      -0.0292      -0.0371
     58  1877    426540   80940  -3762367.4015   3680867.5301   3590465.2729       0.0233      -0.0426       0.0077
     59  1877    426570   80970  -3762367.4187   3680867.5067   3590465.2679       0.0521      -0.0444       0.0016
     60  1877    426600   81000  -3762367.3659   3680867.4565   3590465.2385       0.0510      -0.0274      -0.0751
     61  1877    426630   81030  -3762367.3414   3680867.4875   3590465.2210       0.0117      -0.0442      -0.0816
     62  1877    426660   81060  -3762367.2947   3680867.4835   3590465.1919      -0.0181      -0.0476      -0.1279
     63  1877    426690   81090  -3762367.3220   3680867.4185   3590465.2157       0.0474      -0.0134      -0.1358
     64  1877    426720   81120  -3762367.3709   3680867.4378   3590465.2807       0.0679       0.0127      -0.0591
     65  1877    426750   81150  -3762367.3915   3680867.5658   3590465.2876      -0.0092      -0.0405       0.0308
     66  1877    426780   81180  -3762367.3562   3680867.4694   3590465.2078       0.0350      -0.0539      -0.0907
     67  1877    426810   81210  -3762367.4083   3680867.4610   3590465.2360       0.0774      -0.0483      -0.0490
     68  1877    426840   81240  -3762367.3778   3680867.4422   3590465.2350       0.0696      -0.0295      -0.0783
     69  1877    426870   81270  -3762367.3891   3680867.4694   3590465.2439       0.0580      -0.0375      -0.0509
     70  1877    426900   81300  -3762367.3137   3680867.4517   3590465.2130       0.0179      -0.0254      -0.1230
     71  1877    426930   81330  -3762367.3641   3680867.4642   3590465.2259       0.0442      -0.0401      -0.0788
     72  1877    426960   81360  -3762367.3771   3680867.4862   3590465.2432       0.0376      -0.0398      -0.0487
     73  1877    426990   81390  -3762367.3595   3680867.4444   3590465.2470       0.0551      -0.0130      -0.0810
     74  1877    427020   81420  -3762367.3863   3680867.3738   3590465.2282       0.1244      -0.0114      -0.1166
     75  1877    427050   81450  -3762367.3938   3680867.4323   3590465.2548       0.0878      -0.0157      -0.0634
     76  1877    427080   81480  -3762367.3739   3680867.4300   3590465.2528       0.0756      -0.0084      -0.0775
     77  1877    427110   81510  -3762367.3854   3680867.3994   3590465.2315       0.1055      -0.0185      -0.1005
     78  1877    427140   81540  -3762367.4370   3680867.4342   3590465.2527       0.1166      -0.0357      -0.0380
     79  1877    427170   81570  -3762367.4029   3680867.4053   3590465.2459       0.1135      -0.0160      -0.0787
     80  1877    427200   81600  -3762367.3775   3680867.3687   3590465.2268       0.1219      -0.0070      -0.1255
     81  1877    427230   81630  -3762367.3440   3680867.3459   3590465.2181       0.1148       0.0084      -0.1633
     82  1877    427260   81660  -3762367.3610   3680867.3580   3590465.2050       0.1180      -0.0140      -0.1537
     83  1877    427290   81690  -3762367.3535   3680867.3485   3590465.2127       0.1195      -0.0009      -0.1593
     84  1877    427320   81720  -3762367.3924   3680867.3936   3590465.2395       0.1145      -0.0124      -0.0952
     85  1877    427350   81750  -3762367.3796   3680867.4264   3590465.2481       0.0821      -0.0131      -0.0789
     86  1877    427380   81780  -3762367.3781   3680867.3929   3590465.2258       0.1050      -0.0176      -0.1118
     87  1877    427410   81810  -3762367.3679   3680867.3937   3590465.2320       0.0973      -0.0087      -0.1138
     88  1877    427440   81840  -3762367.3557   3680867.3681   3590465.2061       0.1071      -0.0149      -0.1505
     89  1877    427470   81870  -3762367.3695   3680867.3855   3590465.2407       0.1043       0.0011      -0.1127
     90  1877    427500   81900  -3762367.3796   3680867.4050   3590465.2389       0.0974      -0.0122      -0.0965
     91  1877    427530   81930  -3762367.3967   3680867.4143   3590465.2473       0.1027      -0.0159      -0.0763
     92  1877    427560   81960  -3762367.3901   3680867.4014   3590465.2430       0.1073      -0.0117      -0.0901
     93  1877    427590   81990  -3762367.3412   3680867.3783   3590465.2257       0.0896       0.0029      -0.1420
     94  1877    427620   82020  -3762367.4369   3680867.3946   3590465.2452       0.1449      -0.0261      -0.0651
     95  1877    427650   82050  -3762367.3971   3680867.3629   3590465.2509       0.1397       0.0072      -0.1036
     96  1877    427680   82080  -3762367.4085   3680867.3882   3590465.2536       0.1296      -0.0051      -0.0808
     97  1877    427710   82110  -3762367.3941   3680867.3834   3590465.2498       0.1230      -0.0005      -0.0942
     98  1877    427740   82140  -3762367.3671   3680867.3106   3590465.2044       0.1562       0.0018      -0.1778
     99  1877    427770   82170  -3762367.3874   3680867.3224   3590465.2184       0.1619       0.0004      -0.1511
    100  1877    427800   82200  -3762367.3936   3680867.3165   3590465.2343       0.1704       0.0134      -0.1419
    101  1877    427830   82230  -3762367.4039   3680867.3268   3590465.2408       0.1703       0.0105      -0.1261
    102  1877    427860   82260  -3762367.4024   3680867.2682   3590465.1908       0.2111      -0.0070      -0.1892
    103  1877    427890   82290  -3762367.4452   3680867.3147   3590465.2520       0.2078       0.0078      -0.1025
    104  1877    427920   82320  -3762367.4393   3680867.3314   3590465.2712       0.1918       0.0194      -0.0855
    105  1877    427950   82350  -3762367.4013   3680867.3001   3590465.2414       0.1876       0.0226      -0.1427
    106  1877    427980   82380  -3762367.3720   3680867.3025   3590465.2281       0.1654       0.0225      -0.1661
    107  1877    428010   82410  -3762367.3840   3680867.2880   3590465.2350       0.1841       0.0291      -0.1635
    108  1877    428040   82440  -3762367.3892   3680867.2830   3590465.2298       0.1913       0.0247      -0.1663
    109  1877    428070   82470  -3762367.4078   3680867.3219   3590465.2296       0.1765       0.0016      -0.1330
    110  1877    428100   82500  -3762367.4157   3680867.2758   3590465.2040       0.2150      -0.0044      -0.1694
    111  1877    428130   82530  -3762367.3860   3680867.2699   3590465.2152       0.1984       0.0191      -0.1841
    112  1877    428160   82560  -3762367.4322   3680867.2912   3590465.2510       0.2155       0.0215      -0.1242
    113  1877    428190   82590  -3762367.4643   3680867.3470   3590465.2481       0.1981      -0.0159      -0.0748
    114  1877    428220   82620  -3762367.4347   3680867.3549   3590465.2327       0.1718      -0.0198      -0.0964
    115  1877    428250   82650  -3762367.3682   3680867.2400   3590465.2159       0.2073       0.0387      -0.2114
    116  1877    428280   82680  -3762367.3951   3680867.2698   3590465.2038       0.2048       0.0061      -0.1852
    117  1877    428310   82710  -3762367.4230   3680867.2770   3590465.2463       0.2192       0.0269      -0.1405
    118  1877    428340   82740  -3762367.3441   3680867.1806   3590465.1780       0.2330       0.0408      -0.2812
    119  1877    428370   82770  -3762367.3822   3680867.2091   3590465.2044       0.2392       0.0358      -0.2275
    120  1877    428400   82800  -3762367.3768   3680867.2513   3590465.1576       0.2053      -0.0172      -0.2328
    121  1877    428430   82830  -3762367.4110   3680867.1915   3590465.1921       0.2719       0.0210      -0.2275
    122  1877    428460   82860  -3762367.4136   3680867.2256   3590465.1779       0.2494      -0.0052      -0.2144
    123  1877    428490   82890  -3762367.4801   3680867.3123   3590465.2590       0.2339       0.0004      -0.0794
    124  1877    428520   82920  -3762367.4234   3680867.2501   3590465.1986       0.2388      -0.0018      -0.1828
    125  1877    428550   82950  -3762367.3994   3680867.2305   3590465.1850       0.2360       0.0044      -0.2160
    126  1877    428580   82980  -3762367.4069   3680867.2284   3590465.1790       0.2427      -0.0027      -0.2161
    127  1877    428610   83010  -3762367.3865   3680867.2186   3590465.1605       0.2355      -0.0058      -0.2443
    128  1877    428640   83040  -3762367.4227   3680867.2146   3590465.2113       0.2636       0.0230      -0.1965
    129  1877    428670   83070  -3762367.4211   3680867.2447   3590465.1872       0.2411      -0.0082      -0.1937
    130  1877    428700   83100  -3762367.4282   3680867.3247   3590465.1444       0.1888      -0.0780      -0.1676
    131  1877    428730   83130  -3762367.3911   3680867.2563   3590465.1412       0.2117      -0.0385      -0.2307
    132  1877    428760   83160  -3762367.4395   3680867.2668   3590465.2179       0.2381       0.0010      -0.1527
    133  1877    428790   83190  -3762367.4451   3680867.2789   3590465.2085       0.2334      -0.0138      -0.1478
    134  1877    428820   83220  -3762367.3770   3680867.2555   3590465.1368       0.2025      -0.0362      -0.2420
    135  1877    428850   83250  -3762367.3917   3680867.2361   3590465.1707       0.2266      -0.0065      -0.2253
