% 2016îN 11åé 14ì˙ 17éû 45ï™ 1.662000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  3: 0: 0
END         TIME :  2008/12/13  3:30: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
     60  1509    529259   10859  -3755709.8506   3633584.4230   3644649.6981     650.7932     378.3958       2.1071
     61  1509    529260   10860  -3755710.3481   3633573.4576   3644660.0371     659.0190     391.0337       2.0993
     62  1509    529261   10861  -3755710.7854   3633562.4906   3644670.4550     667.2040     403.7618       2.1006
     63  1509    529262   10862  -3755711.2029   3633551.5012   3644680.8901     675.3915     416.5210       2.0874
     64  1509    529263   10863  -3755711.6236   3633540.5595   3644691.3018     683.5467     429.2408       2.0897
     65  1509    529264   10864  -3755712.0266   3633529.6611   3644701.6735     691.6588     441.9177       2.0833
     66  1509    529265   10865  -3755712.4196   3633518.7682   3644712.0262     699.7597     454.5811       2.0632
     67  1509    529266   10866  -3755712.8699   3633507.7605   3644722.4646     707.9831     467.3369       2.0608
     68  1509    529267   10867  -3755713.3921   3633496.6323   3644732.9950     716.3431     480.1863       2.0849
     69  1509    529268   10868  -3755714.0065   3633485.4733   3644743.5466     724.7893     493.0274       2.1579
     70  1509    529269   10869  -3755714.7279   3633474.4457   3644754.0246     733.2155     505.7115       2.3263
     71  1509    529270   10870  -3755715.5634   3633463.6089   3644764.4020     741.5840     518.1900       2.6126
     72  1509    529271   10871  -3755716.4493   3633452.9736   3644774.6208     749.8426     530.4373       2.9522
     73  1509    529272   10872  -3755717.3086   3633442.5356   3644784.5201     757.9411     542.3554       3.2047
