2019,1,11,9,4,13.9998822,,,,,,,,,,,,,,
2019,1,11,9,4,14.9998822,,,,,,,,,,,,,,
-0.984531,0.175213,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,15.9998822,,,,,,,,,,,,,,
2019,1,11,9,4,16.9998822,,,,,,,,,,,,,,
2019,1,11,9,4,17.9998822,,,,,,,,,,,,,,
-0.978259,0.207387,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,18.9998822,,,,,,,,,,,,,,
-0.977884,0.20915,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,19.9998822,,,,,,,,,,,,,,
-0.9796,0.200958,0,,,,,,,,,,,,,,,,,
-0.976699,0.214613,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,20.9998822,,,,,,,,,,,,,,
-0.974015,0.226482,0,,,,,,,,,,,,,,,,,
-0.971822,0.235717,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,21.9998822,,,,,,,,,,,,,,
-0.97339,0.229155,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,22.9998822,,,,,,,,,,,,,,
-0.971047,0.238888,0,,,,,,,,,,,,,,,,,
-0.966632,0.256171,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,23.9998822,,,,,,,,,,,,,,
-0.96932,0.245801,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,24.9998822,,,,,,,,,,,,,,
-0.967065,0.25453,0,,,,,,,,,,,,,,,,,
-0.967503,0.25286,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,25.9998822,,,,,,,,,,,,,,
-0.969005,0.247041,0,,,,,,,,,,,,,,,,,
-0.970373,0.241611,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,26.9998822,,,,,,,,,,,,,,
-0.968663,0.248381,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,27.9998822,,,,,,,,,,,,,,
-0.966469,0.256782,0,,,,,,,,,,,,,,,,,
-0.960372,0.278722,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,28.9998822,,,,,,,,,,,,,,
-0.96062,0.277864,0,,,,,,,,,,,,,,,,,
-0.966052,0.258346,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,29.9998822,,,,,,,,,,,,,,
-0.964643,0.263559,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,30.9998822,,,,,,,,,,,,,,
-0.966538,0.256525,0,,,,,,,,,,,,,,,,,
-0.968511,0.248971,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,31.9998822,,,,,,,,,,,,,,
-0.964746,0.263184,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,32.9998822,,,,,,,,,,,,,,
-0.966266,0.257546,0,,,,,,,,,,,,,,,,,
-0.968846,0.247664,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,33.9998822,,,,,,,,,,,,,,
-0.969498,0.245099,0,,,,,,,,,,,,,,,,,
-0.967645,0.252315,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,34.9998822,,,,,,,,,,,,,,
-0.970387,0.241554,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,35.9998822,,,,,,,,,,,,,,
-0.969887,0.243554,0,,,,,,,,,,,,,,,,,
-0.969078,0.246756,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,36.9998822,,,,,,,,,,,,,,
-0.970575,0.240798,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,37.9998822,,,,,,,,,,,,,,
-0.967187,0.254067,0,,,,,,,,,,,,,,,,,
-0.969377,0.245578,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,38.9998822,,,,,,,,,,,,,,
-0.968801,0.24784,0,,,,,,,,,,,,,,,,,
-0.976008,0.217736,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,39.9998822,,,,,,,,,,,,,,
-0.97347,0.228814,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,40.9998822,,,,,,,,,,,,,,
-0.974768,0.22322,0,,,,,,,,,,,,,,,,,
-0.976243,0.216677,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,41.9998822,,,,,,,,,,,,,,
-0.97179,0.23585,0,,,,,,,,,,,,,,,,,
-0.974459,0.224566,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,42.9998822,,,,,,,,,,,,,,
-0.972903,0.231215,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,43.9998822,,,,,,,,,,,,,,
-0.975004,0.222187,0,,,,,,,,,,,,,,,,,
-0.978794,0.204845,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,44.9998822,,,,,,,,,,,,,,
-0.977438,0.211222,0,,,,,,,,,,,,,,,,,
-0.973116,0.230316,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,45.9998822,,,,,,,,,,,,,,
-0.974978,0.222301,0,,,,,,,,,,,,,,,,,
-0.976356,0.216167,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,46.9998822,,,,,,,,,,,,,,
-0.978656,0.205505,0,,,,,,,,,,,,,,,,,
-0.979079,0.20348,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,47.9998822,,,,,,,,,,,,,,
-0.976436,0.215806,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,48.9998822,,,,,,,,,,,,,,
-0.982121,0.188253,0,,,,,,,,,,,,,,,,,
-0.98381,0.179213,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,49.9998822,,,,,,,,,,,,,,
-0.983599,0.180368,0,,,,,,,,,,,,,,,,,
-0.980511,0.196462,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,50.9998822,,,,,,,,,,,,,,
-0.98038,0.197116,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,51.9998822,,,,,,,,,,,,,,
-0.98263,0.185577,0,,,,,,,,,,,,,,,,,
-0.979791,0.200022,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,52.9998822,,,,,,,,,,,,,,
-0.984081,0.177719,0,,,,,,,,,,,,,,,,,
-0.980251,0.19776,0,,,,,,,,,,,,,,,,,
2019,1,11,9,4,53.9998822,,,,,,,,,,,,,,
