2019,1,22,7,9,1.999841
2019,1,22,7,9,2.999841
2019,1,22,7,9,3.999841
2019,1,22,7,9,4.999841
2019,1,22,7,9,5.999841
2019,1,22,7,9,6.999841
0.364583,-0.931171,0,,,
0.384977,-0.922926,0,,,
2019,1,22,7,9,7.999841
0.383261,-0.92364,0,,,
2019,1,22,7,9,8.999841
0.371237,-0.928538,0,,,
2019,1,22,7,9,9.999841
0.390174,-0.920741,0,,,
0.372949,-0.927852,0,,,
2019,1,22,7,9,10.999841
0.348642,-0.937256,0,,,
2019,1,22,7,9,11.999841
0.368488,-0.929633,0,,,
0.38163,-0.924315,0,,,
2019,1,22,7,9,12.999841
0.386454,-0.922309,0,,,
2019,1,22,7,9,13.999841
0.368471,-0.929639,0,,,
2019,1,22,7,9,14.999841
0.341345,-0.939938,0,,,
0.352344,-0.935871,0,,,
2019,1,22,7,9,15.999841
0.355987,-0.934491,0,,,
2019,1,22,7,9,16.999841
0.343013,-0.939331,0,,,
0.355532,-0.934664,0,,,
2019,1,22,7,9,17.999841
0.338268,-0.94105,0,,,
2019,1,22,7,9,18.999841
0.366879,-0.930269,0,,,
0.389891,-0.920861,0,,,
2019,1,22,7,9,19.999841
0.398972,-0.916963,0,,,
2019,1,22,7,9,20.999841
0.36057,-0.932732,0,,,
0.356896,-0.934144,0,,,
2019,1,22,7,9,21.999841
0.36188,-0.932225,0,,,
2019,1,22,7,9,22.999841
0.347779,-0.937577,0,,,
0.37828,-0.925691,0,,,
2019,1,22,7,9,23.999841
0.369119,-0.929382,0,,,
2019,1,22,7,9,24.999841
0.347681,-0.937613,0,,,
0.341612,-0.939841,0,,,
2019,1,22,7,9,25.999841
0.340266,-0.940329,0,,,
2019,1,22,7,9,26.999841
2019,1,22,7,9,27.999841
0.3653,-0.93089,0,,,
2019,1,22,7,9,28.999841
0.341946,-0.93972,0,,,
0.34917,-0.937059,0,,,
2019,1,22,7,9,29.999841
0.335324,-0.942103,0,,,
2019,1,22,7,9,30.999841
0.347756,-0.937585,0,,,
2019,1,22,7,9,31.999841
0.34549,-0.938423,0,,,
0.358596,-0.933493,0,,,
2019,1,22,7,9,32.999841
0.342601,-0.939481,0,,,
2019,1,22,7,9,33.999841
0.357643,-0.933858,0,,,
0.324049,-0.94604,0,,,
2019,1,22,7,9,34.999841
0.34325,-0.939244,0,,,
0.316183,-0.948698,0,,,
2019,1,22,7,9,35.999841
0.337365,-0.941374,0,,,
2019,1,22,7,9,36.999841
0.324262,-0.945967,0,,,
2019,1,22,7,9,37.999841
0.310742,-0.950494,0,,,
0.328739,-0.944421,0,,,
2019,1,22,7,9,38.999841
0.338953,-0.940803,0,,,
0.374275,-0.927318,0,,,
2019,1,22,7,9,39.999841
0.348216,-0.937414,0,,,
0.391369,-0.920234,0,,,
0.325758,-0.945453,0,,,
0.400071,-0.916484,0,,,
2019,1,22,7,9,40.999841
0.355654,-0.934618,0,,,
0.49346,-0.869768,0,,,
0.521066,-0.853516,0,,,
2019,1,22,7,9,41.999841
0.462426,-0.886658,0,,,
2019,1,22,7,9,42.999841
0.501162,-0.865353,0,,,
0.491379,-0.870946,0,,,
0.475403,-0.879768,0,,,
0.448901,-0.893582,0,,,
2019,1,22,7,9,43.999841
0.474379,-0.880321,0,,,
2019,1,22,7,9,44.999841
0.465224,-0.885193,0,,,
0.460799,-0.887505,0,,,
0.465755,-0.884914,0,,,
2019,1,22,7,9,45.999841
0.505456,-0.862852,0,,,
2019,1,22,7,9,46.999841
0.498067,-0.867139,0,,,
0.510932,-0.859621,0,,,
2019,1,22,7,9,47.999841
0.495551,-0.868579,0,,,
2019,1,22,7,9,48.999841
0.530933,-0.847414,0,,,
0.482299,-0.876007,0,,,
2019,1,22,7,9,49.999841
0.548705,-0.836016,0,,,
2019,1,22,7,9,50.999841
0.514306,-0.857606,0,,,
0.523117,-0.852261,0,,,
2019,1,22,7,9,51.999841
0.51417,-0.857688,0,,,
0.522484,-0.852649,0,,,
2019,1,22,7,9,52.999841
0.501287,-0.865281,0,,,
2019,1,22,7,9,53.999841
0.523385,-0.852096,0,,,
0.496962,-0.867773,0,,,
2019,1,22,7,9,54.999841
0.501,-0.865447,0,,,
2019,1,22,7,9,55.999841
0.467279,-0.88411,0,,,
0.503745,-0.863852,0,,,
0.508891,-0.860831,0,,,
2019,1,22,7,9,56.999841
0.486723,-0.873556,0,,,
0.489749,-0.871863,0,,,
0.500501,-0.865736,0,,,
0.537074,-0.843535,0,,,
2019,1,22,7,9,57.999841
0.521087,-0.853504,0,,,
0.521431,-0.853294,0,,,
2019,1,22,7,9,58.999841
0.523556,-0.851992,0,,,
0.539462,-0.84201,0,,,
2019,1,22,7,9,59.999841
2019,1,22,7,10,0.999841
0.534728,-0.845024,0,,,
0.56501,-0.825084,0,,,
2019,1,22,7,10,1.999841
0.544666,-0.838653,0,,,
0.557828,-0.829956,0,,,
2019,1,22,7,10,2.999841
0.563469,-0.826137,0,,,
2019,1,22,7,10,3.999841
0.555858,-0.831277,0,,,
0.562759,-0.826621,0,,,
2019,1,22,7,10,4.999841
0.580403,-0.81433,0,,,
2019,1,22,7,10,5.999841
0.562861,-0.826551,0,,,
0.571091,-0.820886,0,,,
2019,1,22,7,10,6.999841
0.557584,-0.830121,0,,,
0.56618,-0.824281,0,,,
2019,1,22,7,10,7.999841
0.540935,-0.841065,0,,,
2019,1,22,7,10,8.999841
0.567544,-0.823343,0,,,
0.552544,-0.833484,0,,,
2019,1,22,7,10,9.999841
0.563864,-0.825868,0,,,
2019,1,22,7,10,10.999841
