0.940508,-0.339772,0,,,
2018,4,18,8,13,24.0004209
0.895888,-0.44428,0,,,
0.901252,-0.433296,0,,,
2018,4,18,8,13,25.0004209
0.880326,-0.474369,0,,,
2018,4,18,8,13,26.0004209
0.930975,-0.365082,0,,,
2018,4,18,8,13,27.0004209
0.890664,-0.454662,0,,,
2018,4,18,8,13,28.0004209
0.783928,-0.620852,0,,,
2018,4,18,8,13,29.0004209
0.683457,-0.729991,0,,,
2018,4,18,8,13,30.0004209
0.748419,-0.663226,0,,,
0.768959,-0.639299,0,,,
2018,4,18,8,13,31.0004209
0.817734,-0.575596,0,,,
2018,4,18,8,13,32.0004209
0.840642,-0.541591,0,,,
2018,4,18,8,13,33.0004209
2018,4,18,8,13,34.0004209
2018,4,18,8,13,35.0004209
0.924161,-0.382003,0,,,
2018,4,18,8,13,36.0004209
2018,4,18,8,13,37.0004209
0.908784,-0.417267,0,,,
0.942412,-0.334455,0,,,
2018,4,18,8,13,38.0004209
2018,4,18,8,13,39.0004209
0.965753,-0.259462,0,,,
2018,4,18,8,13,40.0004209
2018,4,18,8,13,41.0004209
0.926756,-0.375663,0,,,
0.912058,-0.410061,0,,,
2018,4,18,8,13,42.0004209
2018,4,18,8,13,43.0004209
2018,4,18,8,13,44.0004209
0.983004,-0.183585,0,,,
2018,4,18,8,13,45.0004209
2018,4,18,8,13,46.0004209
0.983379,-0.181564,0,,,
2018,4,18,8,13,47.0004209
0.926696,-0.375811,0,,,
2018,4,18,8,13,48.0004209
0.947312,-0.320313,0,,,
2018,4,18,8,13,49.0004209
2018,4,18,8,13,50.0004209
0.985238,-0.171191,0,,,
2018,4,18,8,13,51.0004209
0.977559,-0.210663,0,,,
2018,4,18,8,13,52.0004209
0.98321,-0.182479,0,,,
2018,4,18,8,13,53.0004209
2018,4,18,8,13,54.0004209
0.993349,-0.115144,0,,,
2018,4,18,8,13,55.0004209
0.948564,-0.316584,0,,,
0.890726,-0.454541,0,,,
2018,4,18,8,13,56.0004209
0.928226,-0.372016,0,,,
2018,4,18,8,13,57.0004209
0.985744,-0.168251,0,,,
0.995592,-0.093787,0,,,
2018,4,18,8,13,58.0004209
0.991379,-0.131028,0,,,
0.967879,-0.251418,0,,,
2018,4,18,8,13,59.0004209
0.986632,-0.162967,0,,,
2018,4,18,8,14,0.0004209
0.965761,-0.259433,0,,,
2018,4,18,8,14,1.0004209
0.968865,-0.24759,0,,,
2018,4,18,8,14,2.0004209
0.788857,-0.614576,0,,,
0.745395,-0.666623,0,,,
0.792637,-0.609694,0,,,
2018,4,18,8,14,3.0004209
0.865083,-0.501629,0,,,
0.868881,-0.495021,0,,,
2018,4,18,8,14,4.0004209
0.901007,-0.433804,0,,,
2018,4,18,8,14,5.0004209
0.902486,-0.43072,0,,,
0.944748,-0.327798,0,,,
2018,4,18,8,14,6.0004209
2018,4,18,8,14,7.0004209
0.962436,-0.271508,0,,,
0.969446,-0.245304,0,,,
2018,4,18,8,14,8.0004209
2018,4,18,8,14,9.0004209
0.956235,-0.292599,0,,,
2018,4,18,8,14,10.0004209
0.924301,-0.381663,0,,,
2018,4,18,8,14,11.0004209
0.916291,-0.400514,0,,,
2018,4,18,8,14,12.0004209
0.922689,-0.385545,0,,,
0.943576,-0.331156,0,,,
2018,4,18,8,14,13.0004209
2018,4,18,8,14,14.0004209
0.927223,-0.374509,0,,,
0.931464,-0.363834,0,,,
2018,4,18,8,14,15.0004209
0.938598,-0.345011,0,,,
0.947479,-0.319818,0,,,
2018,4,18,8,14,16.0004209
0.966816,-0.255474,0,,,
0.968319,-0.249715,0,,,
2018,4,18,8,14,17.0004209
0.940875,-0.338755,0,,,
0.926903,-0.375301,0,,,
2018,4,18,8,14,18.0004209
0.938348,-0.345692,0,,,
2018,4,18,8,14,19.0004209
0.943887,-0.33027,0,,,
2018,4,18,8,14,20.0004209
0.9413,-0.337572,0,,,
0.928675,-0.370894,0,,,
2018,4,18,8,14,21.0004209
0.941641,-0.336619,0,,,
0.940712,-0.339207,0,,,
2018,4,18,8,14,22.0004209
0.931007,-0.365001,0,,,
2018,4,18,8,14,23.0004209
0.948665,-0.316282,0,,,
0.952766,-0.303706,0,,,
0.954852,-0.297081,0,,,
2018,4,18,8,14,24.0004209
0.96433,-0.264705,0,,,
0.970374,-0.24161,0,,,
2018,4,18,8,14,25.0004209
0.952057,-0.305921,0,,,
2018,4,18,8,14,26.0004209
0.937515,-0.347945,0,,,
0.940992,-0.338429,0,,,
2018,4,18,8,14,27.0004209
0.956689,-0.291113,0,,,
0.962482,-0.271345,0,,,
0.97021,-0.242264,0,,,
2018,4,18,8,14,28.0004209
0.969085,-0.246729,0,,,
2018,4,18,8,14,29.0004209
0.989092,-0.1473,0,,,
2018,4,18,8,14,30.0004209
0.999894,-0.014533,0,,,
2018,4,18,8,14,31.0004209
0.996995,0.077461,0,,,
0.998807,0.048824,0,,,
2018,4,18,8,14,32.0004209
0.99883,-0.048365,0,,,
0.962917,-0.269799,0,,,
2018,4,18,8,14,33.0004209
0.934719,-0.355388,0,,,
0.937925,-0.346839,0,,,
2018,4,18,8,14,34.0004209
0.978728,-0.205162,0,,,
0.980814,-0.194944,0,,,
2018,4,18,8,14,35.0004209
0.983772,-0.179422,0,,,
0.984275,-0.17664,0,,,
0.979905,-0.199467,0,,,
2018,4,18,8,14,36.0004209
0.986051,-0.166443,0,,,
2018,4,18,8,14,37.0004209
0.989745,-0.142844,0,,,
2018,4,18,8,14,38.0004209
2018,4,18,8,14,39.0004209
