-0.425205,-0.581034,136.972626,,,
2017,10,16,6,59,0.3950338
-0.436475,-0.572616,135.674988,,,
-0.40243,-0.597034,134.782425,,,
2017,10,16,6,59,1.3950338
-0.404024,-0.595957,134.064667,,,
-0.418015,-0.586228,133.813217,,,
2017,10,16,6,59,2.3950338
-0.396461,-0.601015,133.260849,,,
-0.428907,-0.578307,132.836197,,,
2017,10,16,6,59,3.3950338
-0.395112,-0.601902,132.535294,,,
-0.422499,-0.583005,132.3116,,,
2017,10,16,6,59,4.3950338
-0.360591,-0.623197,132.330887,,,
-0.415158,-0.588255,132.025543,,,
2017,10,16,6,59,5.3950338
-0.372476,-0.616167,131.805817,,,
2017,10,16,6,59,6.3950336
-0.37764,-0.613016,131.906281,,,
-0.409124,-0.592468,131.76326,,,
2017,10,16,6,59,7.3950336
-0.374551,-0.614908,131.546997,,,
-0.451302,-0.561005,131.457932,,,
2017,10,16,6,59,8.3950336
-0.457563,-0.55591,131.539093,,,
-0.463618,-0.550871,131.457932,,,
2017,10,16,6,59,9.3950336
-0.410996,-0.591171,131.295624,,,
-0.419065,-0.585478,131.242172,,,
2017,10,16,6,59,10.3950336
-0.423367,-0.582375,131.37677,,,
-0.363668,-0.621406,131.295624,,,
2017,10,16,6,59,11.3950336
-0.384806,-0.608543,131.214966,,,
-0.351209,-0.628532,131.37677,,,
2017,10,16,6,59,12.3950336
-0.388876,-0.60595,131.295624,,,
-0.364707,-0.620797,131.207535,,,
2017,10,16,6,59,13.3950334
-0.407715,-0.593438,131.457932,,,
2017,10,16,6,59,14.3950334
-0.466686,-0.548274,131.37677,,,
-0.457285,-0.556139,131.457932,,,
2017,10,16,6,59,15.3950334
-0.420732,-0.584281,131.295624,,,
-0.401463,-0.597685,131.457932,,,
2017,10,16,6,59,16.3950334
-0.403671,-0.596196,131.402008,,,
-0.400578,-0.598278,131.37677,,,
2017,10,16,6,59,17.3950334
-0.409352,-0.59231,131.457932,,,
-0.43438,-0.574207,131.300568,,,
2017,10,16,6,59,18.3950334
-0.418359,-0.585983,131.404984,,,
-0.458221,-0.555368,131.295624,,,
2017,10,16,6,59,19.3950334
-0.430217,-0.577333,131.295624,,,
-0.421073,-0.584036,131.367371,,,
2017,10,16,6,59,20.3950334
-0.40323,-0.596495,131.161514,,,
-0.427525,-0.579329,131.457932,,,
2017,10,16,6,59,21.3950334
-0.357529,-0.624959,131.457932,,,
2017,10,16,6,59,22.3950331
-0.367462,-0.61917,131.295624,,,
-0.415835,-0.587777,131.37677,,,
2017,10,16,6,59,23.3950331
-0.423181,-0.58251,131.457932,,,
-0.427121,-0.579627,131.295624,,,
2017,10,16,6,59,24.3950331
-0.434059,-0.57445,131.37677,,,
-0.455177,-0.557866,131.404984,,,
2017,10,16,6,59,25.3950331
-0.431099,-0.576674,131.295624,,,
-0.385458,-0.60813,131.295624,,,
2017,10,16,6,59,26.3950331
-0.458366,-0.555248,131.366379,,,
-0.436346,-0.572715,131.239212,,,
2017,10,16,6,59,27.3950331
-0.447495,-0.564046,131.457932,,,
-0.39312,-0.603206,131.295624,,,
2017,10,16,6,59,28.3950331
-0.428961,-0.578266,131.37677,,,
-0.432659,-0.575505,131.405472,,,
2017,10,16,6,59,29.3950331
-0.434327,-0.574247,131.295624,,,
-0.409031,-0.592532,131.37677,,,
2017,10,16,6,59,30.3950331
-0.426129,-0.580357,131.457932,,,
-0.396796,-0.600793,131.401016,,,
2017,10,16,6,59,31.3950331
-0.438059,-0.571406,131.37677,,,
2017,10,16,6,59,32.3950331
-0.435579,-0.573298,131.444077,,,
-0.406558,-0.594231,131.220398,,,
2017,10,16,6,59,33.3950331
-0.377458,-0.613128,131.320862,,,
-0.380792,-0.611062,131.399048,,,
2017,10,16,6,59,34.3950331
-0.390579,-0.604854,131.444565,,,
-0.420602,-0.584375,131.457932,,,
2017,10,16,6,59,35.3950329
-0.387511,-0.606824,131.464355,,,
-0.418601,-0.58581,131.37677,,,
2017,10,16,6,59,36.3950329
-0.390977,-0.604597,131.457932,,,
-0.396882,-0.600737,131.295624,,,
2017,10,16,6,59,37.3950329
-0.361564,-0.622633,131.37677,,,
-0.401226,-0.597844,131.259003,,,
2017,10,16,6,59,38.3950329
