0.841391,-0.540427,159.055313,0.841391,122.712681,69.000000
  2019,     9,    10,    10,    46,   11.0003315
0.789072,-0.614300,159.603180,0.789072,127.901098,70.000000
0.798644,-0.601804,160.763611,0.798644,126.999226,71.000000
  2019,     9,    10,    10,    46,   12.0003315
0.805613,-0.592442,160.327972,0.805613,126.330496,72.000000
0.814565,-0.580073,160.472824,0.814565,125.455658,73.000000
  2019,     9,    10,    10,    46,   13.0003315
0.831079,-0.556155,160.774109,0.831079,123.790294,74.000000
0.826407,-0.563073,160.404602,0.826407,124.268557,75.000000
0.828968,-0.559297,160.535294,0.828968,124.007166,76.000000
  2019,     9,    10,    10,    46,   14.0003315
0.816230,-0.577727,159.701843,0.816230,125.290818,77.000000
0.813186,-0.582004,160.158966,0.813186,125.591606,78.000000
0.821195,-0.570647,160.350540,0.821195,124.795370,79.000000
  2019,     9,    10,    10,    46,   15.0003315
0.832871,-0.553467,159.832520,0.832871,123.605182,80.000000
  2019,     9,    10,    10,    46,   16.0003315
0.819323,-0.573332,159.598465,0.819323,124.982872,81.000000
0.830864,-0.556475,160.284409,0.830864,123.812383,82.000000
  2019,     9,    10,    10,    46,   17.0003315
0.822941,-0.568126,159.703415,0.822941,124.619670,83.000000
0.834201,-0.551460,160.216171,0.834201,123.467253,84.000000
  2019,     9,    10,    10,    46,   18.0003315
0.848797,-0.528719,159.870834,0.848797,121.918918,85.000000
0.826059,-0.563583,159.557526,0.826059,124.303979,86.000000
0.812379,-0.583129,160.077621,0.812379,125.670945,87.000000
  2019,     9,    10,    10,    46,   19.0003315
0.827459,-0.561526,160.659164,0.827459,124.161405,88.000000
  2019,     9,    10,    10,    46,   20.0003315
0.814851,-0.579671,160.575180,0.814851,125.427408,89.000000
0.817928,-0.575321,160.062927,0.817928,125.122085,90.000000
  2019,     9,    10,    10,    46,   21.0003315
0.814723,-0.579850,159.880814,0.814723,125.439976,91.000000
0.824798,-0.565427,160.095459,0.824798,124.431936,92.000000
  2019,     9,    10,    10,    46,   22.0003315
0.846179,-0.532898,160.649704,0.846179,122.201483,93.000000
0.824508,-0.565850,160.240845,0.824508,124.461346,94.000000
  2019,     9,    10,    10,    46,   23.0003315
0.812810,-0.582529,159.553329,0.812810,125.628626,95.000000
0.828557,-0.559904,159.974228,0.828557,124.049172,96.000000
0.834694,-0.550714,159.378052,0.834694,123.415986,97.000000
  2019,     9,    10,    10,    46,   24.0003315
0.828837,-0.559489,159.687149,0.828837,124.020499,98.000000
