% 2016îN 12åé 14ì˙ 12éû 40ï™ 43.845000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  020606_rov_mod.02o
Ephemeris_N File :  020606_rov_mod.02n
Ephemeris_G File :  Nothing
IONEX       File :  igsg1570.02i
IGS SP3     File :  igs11694.sp3
START       TIME :  2002/ 6/ 6  5:28:20
END         TIME :  2002/ 6/ 6  5:43: 5
True Position[m] :  X = -3760922.8235,  Y = 3636743.2908,  Z = 3636391.2830
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8228
True Position[m] :  X = -3760922.8883,  Y = 3636743.5547,  Z = 3636390.9611
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8267
True Position[m] :  X = -3760922.9694,  Y = 3636743.8176,  Z = 3636390.6306
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8346
True Position[m] :  X = -3760923.0236,  Y = 3636744.0937,  Z = 3636390.2821
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8240
True Position[m] :  X = -3760923.0997,  Y = 3636744.3574,  Z = 3636389.9423
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8243
True Position[m] :  X = -3760923.1606,  Y = 3636744.6296,  Z = 3636389.6085
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8238
True Position[m] :  X = -3760923.2192,  Y = 3636744.9106,  Z = 3636389.2823
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8313
True Position[m] :  X = -3760923.2648,  Y = 3636745.1870,  Z = 3636388.9494
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8247
True Position[m] :  X = -3760923.3219,  Y = 3636745.4683,  Z = 3636388.6193
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8293
True Position[m] :  X = -3760923.3604,  Y = 3636745.7545,  Z = 3636388.2919
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8273
True Position[m] :  X = -3760923.4089,  Y = 3636746.0485,  Z = 3636387.9515
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8281
True Position[m] :  X = -3760923.4502,  Y = 3636746.3318,  Z = 3636387.6325
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8309
True Position[m] :  X = -3760923.4923,  Y = 3636746.6267,  Z = 3636387.3024
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8344
True Position[m] :  X = -3760923.5090,  Y = 3636746.9313,  Z = 3636386.9713
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8279
True Position[m] :  X = -3760923.5452,  Y = 3636747.2238,  Z = 3636386.6373
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8244
True Position[m] :  X = -3760923.5849,  Y = 3636747.5250,  Z = 3636386.3051
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8288
True Position[m] :  X = -3760923.5899,  Y = 3636747.8305,  Z = 3636385.9830
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8211
True Position[m] :  X = -3760923.5928,  Y = 3636748.1290,  Z = 3636385.6803
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8192
True Position[m] :  X = -3760923.6039,  Y = 3636748.4201,  Z = 3636385.3783
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8184
True Position[m] :  X = -3760923.5996,  Y = 3636748.7485,  Z = 3636385.0622
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8217
True Position[m] :  X = -3760923.5920,  Y = 3636749.0674,  Z = 3636384.7485
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8190
True Position[m] :  X = -3760923.5931,  Y = 3636749.3819,  Z = 3636384.4361
True Position[m] :  X =      34.9826,  Y =     135.9617,  Z =     177.8197
True Position[m] :  X = -3760923.5950,  Y = 3636749.6971,  Z = 3636384.1192
True Position[m] :  X =      34.9826,  Y =     135.9616,  Z =     177.8187
True Position[m] :  X = -3760923.5812,  Y = 3636750.0130,  Z = 3636383.8211
True Position[m] :  X =      34.9826,  Y =     135.9616,  Z =     177.8195
True Position[m] :  X = -3760923.5714,  Y = 3636750.3253,  Z = 3636383.5178
True Position[m] :  X =      34.9826,  Y =     135.9616,  Z =     177.8177
True Position[m] :  X = -3760923.5569,  Y = 3636750.6512,  Z = 3636383.2265
True Position[m] :  X =      34.9826,  Y =     135.9616,  Z =     177.8278
True Position[m] :  X = -3760923.5275,  Y = 3636750.9820,  Z = 3636382.9222
True Position[m] :  X =      34.9826,  Y =     135.9616,  Z =     177.8244
True Position[m] :  X = -3760923.4893,  Y = 3636751.3028,  Z = 3636382.6392
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8224
True Position[m] :  X = -3760923.4404,  Y = 3636751.6327,  Z = 3636382.3538
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8179
True Position[m] :  X = -3760923.4030,  Y = 3636751.9604,  Z = 3636382.0620
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8151
True Position[m] :  X = -3760923.3768,  Y = 3636752.2831,  Z = 3636381.7721
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8174
True Position[m] :  X = -3760923.3315,  Y = 3636752.6181,  Z = 3636381.4881
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8186
True Position[m] :  X = -3760923.2899,  Y = 3636752.9517,  Z = 3636381.1917
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8142
True Position[m] :  X = -3760923.2357,  Y = 3636753.2840,  Z = 3636380.9234
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8177
True Position[m] :  X = -3760923.1772,  Y = 3636753.6260,  Z = 3636380.6517
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8223
True Position[m] :  X = -3760923.1139,  Y = 3636753.9642,  Z = 3636380.3773
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8203
True Position[m] :  X = -3760923.0499,  Y = 3636754.3041,  Z = 3636380.1051
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8201
True Position[m] :  X = -3760922.9796,  Y = 3636754.6447,  Z = 3636379.8295
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8146
True Position[m] :  X = -3760922.9050,  Y = 3636754.9950,  Z = 3636379.5573
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8142
True Position[m] :  X = -3760922.8288,  Y = 3636755.3411,  Z = 3636379.2917
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8141
True Position[m] :  X = -3760922.7430,  Y = 3636755.6826,  Z = 3636379.0343
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8105
True Position[m] :  X = -3760922.6549,  Y = 3636756.0326,  Z = 3636378.7746
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8091
True Position[m] :  X = -3760922.5556,  Y = 3636756.3909,  Z = 3636378.5171
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8070
True Position[m] :  X = -3760922.4466,  Y = 3636756.7505,  Z = 3636378.2616
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8012
True Position[m] :  X = -3760922.3554,  Y = 3636757.1100,  Z = 3636377.9981
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8012
True Position[m] :  X = -3760922.2552,  Y = 3636757.4641,  Z = 3636377.7525
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8030
True Position[m] :  X = -3760922.1386,  Y = 3636757.8263,  Z = 3636377.5091
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8011
True Position[m] :  X = -3760922.0392,  Y = 3636758.1795,  Z = 3636377.2610
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8014
True Position[m] :  X = -3760921.9465,  Y = 3636758.5345,  Z = 3636377.0102
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8052
True Position[m] :  X = -3760921.8053,  Y = 3636758.8862,  Z = 3636376.7801
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.7905
True Position[m] :  X = -3760921.6968,  Y = 3636759.2691,  Z = 3636376.5314
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.8020
True Position[m] :  X = -3760921.5652,  Y = 3636759.6264,  Z = 3636376.3069
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.7993
True Position[m] :  X = -3760921.4158,  Y = 3636759.9973,  Z = 3636376.0729
True Position[m] :  X =      34.9825,  Y =     135.9616,  Z =     177.7884
True Position[m] :  X = -3760921.2927,  Y = 3636760.3519,  Z = 3636375.8545
True Position[m] :  X =      34.9825,  Y =     135.9615,  Z =     177.7927
True Position[m] :  X = -3760921.1610,  Y = 3636760.7043,  Z = 3636375.6428
True Position[m] :  X =      34.9825,  Y =     135.9615,  Z =     177.7945
True Position[m] :  X = -3760921.0107,  Y = 3636761.0546,  Z = 3636375.4401
True Position[m] :  X =      34.9825,  Y =     135.9615,  Z =     177.7892
True Position[m] :  X = -3760920.8692,  Y = 3636761.4176,  Z = 3636375.2295
True Position[m] :  X =      34.9825,  Y =     135.9615,  Z =     177.7918
True Position[m] :  X = -3760920.7143,  Y = 3636761.7751,  Z = 3636375.0333
True Position[m] :  X =      34.9825,  Y =     135.9615,  Z =     177.7917
True Position[m] :  X = -3760920.5609,  Y = 3636762.1214,  Z = 3636374.8351
True Position[m] :  X =      34.9825,  Y =     135.9615,  Z =     177.7850
True Position[m] :  X = -3760920.4147,  Y = 3636762.4832,  Z = 3636374.6388
True Position[m] :  X =      34.9825,  Y =     135.9615,  Z =     177.7924
True Position[m] :  X = -3760920.2473,  Y = 3636762.8324,  Z = 3636374.4649
True Position[m] :  X =      34.9825,  Y =     135.9615,  Z =     177.7929
True Position[m] :  X = -3760920.0815,  Y = 3636763.1865,  Z = 3636374.2660
True Position[m] :  X =      34.9825,  Y =     135.9615,  Z =     177.7830
True Position[m] :  X = -3760919.9335,  Y = 3636763.5430,  Z = 3636374.0882
True Position[m] :  X =      34.9825,  Y =     135.9615,  Z =     177.7969
True Position[m] :  X = -3760919.7765,  Y = 3636763.9006,  Z = 3636373.9033
True Position[m] :  X =      34.9825,  Y =     135.9615,  Z =     177.8021
True Position[m] :  X = -3760919.5916,  Y = 3636764.2572,  Z = 3636373.7219
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.7923
True Position[m] :  X = -3760919.4215,  Y = 3636764.6108,  Z = 3636373.5651
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.8036
True Position[m] :  X = -3760919.2384,  Y = 3636764.9693,  Z = 3636373.3894
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.7992
True Position[m] :  X = -3760919.0603,  Y = 3636765.3317,  Z = 3636373.2164
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.8015
True Position[m] :  X = -3760918.8906,  Y = 3636765.6818,  Z = 3636373.0510
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.8062
True Position[m] :  X = -3760918.7045,  Y = 3636766.0426,  Z = 3636372.8942
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.8122
True Position[m] :  X = -3760918.5036,  Y = 3636766.3987,  Z = 3636372.7322
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.8037
True Position[m] :  X = -3760918.3243,  Y = 3636766.7570,  Z = 3636372.5843
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.8174
True Position[m] :  X = -3760918.1290,  Y = 3636767.1006,  Z = 3636372.4204
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.8041
True Position[m] :  X = -3760917.9291,  Y = 3636767.4703,  Z = 3636372.2738
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.8128
True Position[m] :  X = -3760917.7310,  Y = 3636767.8311,  Z = 3636372.1254
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.8166
True Position[m] :  X = -3760917.5177,  Y = 3636768.1789,  Z = 3636371.9903
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.8115
True Position[m] :  X = -3760917.3101,  Y = 3636768.5195,  Z = 3636371.8575
True Position[m] :  X =      34.9824,  Y =     135.9615,  Z =     177.8072
True Position[m] :  X = -3760917.0996,  Y = 3636768.8703,  Z = 3636371.7334
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8119
True Position[m] :  X = -3760916.8700,  Y = 3636769.2255,  Z = 3636371.6151
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8111
True Position[m] :  X = -3760916.6537,  Y = 3636769.5768,  Z = 3636371.4904
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8123
True Position[m] :  X = -3760916.4333,  Y = 3636769.9351,  Z = 3636371.3749
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8203
True Position[m] :  X = -3760916.2025,  Y = 3636770.2854,  Z = 3636371.2585
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8172
True Position[m] :  X = -3760915.9621,  Y = 3636770.6382,  Z = 3636371.1469
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8125
True Position[m] :  X = -3760915.7255,  Y = 3636770.9983,  Z = 3636371.0327
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8128
True Position[m] :  X = -3760915.4976,  Y = 3636771.3528,  Z = 3636370.9239
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8181
True Position[m] :  X = -3760915.2528,  Y = 3636771.6909,  Z = 3636370.8230
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8086
True Position[m] :  X = -3760915.0055,  Y = 3636772.0452,  Z = 3636370.7357
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8147
True Position[m] :  X = -3760914.7689,  Y = 3636772.3978,  Z = 3636370.6377
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8200
True Position[m] :  X = -3760914.5127,  Y = 3636772.7602,  Z = 3636370.5395
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8192
True Position[m] :  X = -3760914.2509,  Y = 3636773.1038,  Z = 3636370.4614
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8159
True Position[m] :  X = -3760913.9843,  Y = 3636773.4560,  Z = 3636370.3776
True Position[m] :  X =      34.9824,  Y =     135.9614,  Z =     177.8115
