% 2016îN 12åé 17ì˙ 16éû 9ï™ 47.990000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  AndroidOBS.16o
Ephemeris_N File :  AndroidOBS.16n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2016/12/17  6:39:5.400000e+000
END         TIME :  2016/12/17  6:40:1.040000e+001
True Position[m] :  X = -3748111.4801,  Y = 3635877.5482,  Z = 3650437.2263

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
     56  1927    542400   24000  -3761092.6979   3636656.4232   3636359.3394    8479.4896  -17187.2711     -39.1250
     57  1927    542401   24001  -3761093.0267   3636657.7142   3636357.5439    8478.7920  -17189.3925     -39.2303
     58  1927    542402   24002  -3761090.3599   3636654.4332   3636358.6593    8479.2901  -17186.0640     -42.0219
     59  1927    542403   24003  -3761091.0058   3636650.4038   3636358.6757    8482.6321  -17184.7026     -43.9277
     60  1927    542404   24004  -3761089.8893   3636650.8110   3636355.7561    8481.5623  -17186.7922     -46.0316
     61  1927    542405   24005  -3761090.4625   3636651.9079   3636352.9794    8481.1741  -17189.7393     -46.6686
     62  1927    542406   24006  -3761091.6134   3636649.8714   3636355.9925    8483.4372  -17186.9346     -45.4185
     63  1927    542407   24007  -3761091.1772   3636649.9269   3636349.8512    8483.0937  -17191.7989     -49.1774
     64  1927    542408   24008  -3761091.1638   3636650.3693   3636350.8231    8482.7668  -17191.1757     -48.3741
     65  1927    542409   24009  -3761090.1944   3636649.1722   3636350.8840    8482.9511  -17190.2458     -49.5896
     66  1927    542410   24010  -3761088.8691   3636645.6392   3636349.4184    8484.5642  -17189.4810     -53.2227
